player-1.txt
1.632319,-2.934168,2.999996
0.3445517,-3.681394,4.899996
0.2442327,-3.668738,4.549995
3.124664,-5.504812,2.699995
0.2600676,-4.221815,2.699995
-0.7244958,-4.897057,6.049995
-1.251972,-9.873871,6.049995
-1.779032,-14.84678,6.049995
-2.218036,-18.98884,6.049995
-1.690999,-14.01617,6.049995
-1.109566,-9.043421,9.049995
-0.9262891,-4.051201,7.149997
-1.791332,-3.807508,7.399999
-6.690683,-2.837648,12.75
-10.67127,-1.936931,12.75
-15.38304,-0.8707654,12.75
-13.84966,-1.219942,13.75
-7.941637,-1.020721,30.9
-1.999699,-0.8289431,30.9
1.251029,-2.389871,359.5
0.2248859,-7.407988,359.5
0.2685413,-12.41042,359.5
1.273569,-17.4077,359.5
2.083354,-22.40891,359.5
2.279762,-27.4119,359.5
2.298328,-29.53962,359.5
2.735334,-33.90292,359.5
3.268837,-38.90021,359.5
3.312496,-43.90285,359.5
3.341355,-47.20975,359.5
3.348468,-48.02483,359.5
3.309604,-43.57131,359.5
3.130909,-38.51307,359.5
0.3518752,-33.53658,359.5
0.3432451,-32.54767,359.4
0.3432451,-32.54767,359.3
0.3432451,-32.54767,26.6
0.3432451,-32.54767,12.30002
0.3432451,-32.54767,327.65
0.3432451,-32.54767,327.65
0.3432451,-32.54767,327.65
0.3432451,-32.54767,327.65
0.3432451,-32.54767,327.65
-1.10892,-29.33502,338.45
-0.1454407,-23.85015,340.5
-2.732924,-19.56487,339
-7.383884,-17.04879,327.15
-5.829171,-11.32591,341.15
-2.446475,-5.127005,351.8
-0.3899443,-4.288525,356.65
-0.1292234,-7.383497,354.95
-0.1292234,-7.383497,354.95
-0.1292234,-7.383497,354.95
-0.1292234,-7.383497,338.85
