2024-03-27_14-37-03_remote-1spatial maze.txt,id1=15,id2=4,01:48:12
2024-03-27_14-38-36,-33.19797,-34.59575,157.4783,7
2024-03-27_14-38-37,-33.33014,-35.23208,150.8824,8
2024-03-27_14-38-37,-33.69149,-36.06811,176.1974,7
2024-03-27_14-38-38,-33.94451,-36.33894,268.864,4
2024-03-27_14-38-38,-34.39261,-36.41491,290.882,4
2024-03-27_14-38-39,-34.92821,-36.55022,292.3499,4
2024-03-27_14-38-39,-35.28205,-36.61631,291.7155,4
2024-03-27_14-38-40,-36.28576,-36.91029,291.3987,4
2024-03-27_14-38-40,-36.90227,-37.15205,284.0124,4
2024-03-27_14-38-41,-37.64443,-37.53135,279.0759,4
2024-03-27_14-38-41,-37.981,-37.67488,280.3092,4
2024-03-27_14-38-42,-38.50175,-37.93468,283.7632,4
2024-03-27_14-38-42,-39.49851,-38.08786,304.4708,4
2024-03-27_14-38-43,-39.93875,-38.29669,287.2693,4
2024-03-27_14-38-43,-40.12707,-38.47935,204.9261,4
2024-03-27_14-38-44,-40.63555,-38.76482,197.961,4
2024-03-27_14-38-44,-41.04308,-38.89106,157.3197,4
2024-03-27_14-38-45,-41.19391,-39.15022,135.6004,4
2024-03-27_14-38-45,-41.31261,-39.67091,134.1333,6
2024-03-27_14-38-46,-41.2144,-40.4188,121.7107,7
2024-03-27_14-38-46,-41.10703,-40.68844,108.1048,7
2024-03-27_14-38-47,-40.9393,-41.01151,102.4975,8
2024-03-27_14-38-47,-40.56571,-41.32961,106.8387,8
2024-03-27_14-38-48,-40.43046,-41.51425,108.5813,8
2024-03-27_14-38-48,-40.32112,-41.65718,107.258,7
2024-03-27_14-38-49,-40.01343,-41.90116,109.3909,6
2024-03-27_14-38-49,-39.53846,-42.35685,109.1602,7
2024-03-27_14-38-50,-39.10166,-42.76866,114.4173,7
2024-03-27_14-38-50,-38.7724,-43.19804,117.3649,8
2024-03-27_14-38-51,-38.32054,-43.76503,112.9514,8
2024-03-27_14-38-51,-37.71984,-44.38649,106.9454,8
2024-03-27_14-38-52,-37.28132,-44.69158,103.9893,8
2024-03-27_14-38-52,-36.96322,-44.97064,103.2735,9
2024-03-27_14-38-53,-36.56233,-45.52752,122.8471,11
2024-03-27_14-38-53,-36.18693,-46.08377,116.2967,11
2024-03-27_14-38-54,-35.38351,-46.41166,78.33843,10
2024-03-27_14-38-54,-34.95969,-46.29653,55.67014,10
2024-03-27_14-38-55,-34.43442,-46.10666,44.19197,10
2024-03-27_14-38-55,-33.99977,-46.06543,43.45238,11
2024-03-27_14-38-56,-33.15783,-45.31856,43.20267,10
2024-03-27_14-38-56,-32.85799,-45.08672,49.19967,10
2024-03-27_14-38-57,-32.65085,-44.85876,42.42857,10
2024-03-27_14-38-57,-32.62813,-44.84554,42.11229,10
2024-03-27_14-38-58,-32.62686,-44.84639,42.15192,10
2024-03-27_14-38-58,-32.7029,-44.94369,39.31807,10
2024-03-27_14-38-59,-32.72626,-44.96927,39.11856,10
2024-03-27_14-38-59,-32.72568,-44.96978,39.43819,11
2024-03-27_14-39-00,-32.72715,-44.97068,39.07272,11
2024-03-27_14-39-00,-32.74713,-44.95565,30.51847,10
2024-03-27_14-39-01,-32.7474,-44.95342,29.1897,11
2024-03-27_14-39-01,-32.72661,-44.94092,36.69475,11
2024-03-27_14-39-02,-32.66064,-44.9586,50.957,10
2024-03-27_14-39-02,-32.51779,-44.92072,59.54405,10
2024-03-27_14-39-03,-32.41428,-44.8744,61.46476,10
2024-03-27_14-39-03,-32.38382,-44.80033,56.1543,10
2024-03-27_14-39-04,-32.28366,-44.7719,67.18595,10
2024-03-27_14-39-04,-32.27804,-44.74841,62.89365,10
2024-03-27_14-39-05,-32.23955,-44.71576,51.65495,10
2024-03-27_14-39-05,-32.09901,-44.51203,42.53337,10
2024-03-27_14-39-06,-31.68636,-44.09811,41.70207,10
2024-03-27_14-39-06,-31.36178,-43.79804,56.2135,10
2024-03-27_14-39-07,-31.08472,-43.71329,72.7503,11
2024-03-27_14-39-07,-30.43033,-43.41408,73.41917,10
2024-03-27_14-39-08,-29.59974,-43.33731,83.77166,8
2024-03-27_14-39-08,-28.8856,-43.61845,108.2835,8
2024-03-27_14-39-09,-28.2624,-43.92599,84.45892,8
2024-03-27_14-39-09,-27.59221,-43.87405,65.2896,7
2024-03-27_14-39-10,-27.49433,-43.86199,69.49211,7
2024-03-27_14-39-10,-27.50731,-43.84914,53.35844,7
2024-03-27_14-39-11,-27.51076,-43.85112,50.56556,8
2024-03-27_14-39-11,-27.51579,-43.84881,51.55474,7
2024-03-27_14-39-12,-27.51249,-43.85078,52.50464,9
2024-03-27_14-39-12,-27.5131,-43.85246,53.27322,7
2024-03-27_14-39-13,-27.51411,-43.85337,53.30696,6
2024-03-27_14-39-13,-27.50917,-43.85207,53.76289,7
2024-03-27_14-39-14,-27.51219,-43.85372,53.90422,5
2024-03-27_14-39-14,-27.5133,-43.85472,53.90206,5
2024-03-27_14-39-15,-27.51249,-43.85526,53.46909,5
2024-03-27_14-39-16,-27.48736,-43.8572,59.70924,5
