2024-03-27_11-49-54_remote-1spatial maze.txt,id1=12,id2=21,02:45:50
2024-03-27_11-50-03,-47.41438,48.58912,55.6823,19
2024-03-27_11-50-04,-47.43123,48.41072,152.5354,20
2024-03-27_11-50-04,-47.42932,48.38039,145.4491,20
2024-03-27_11-50-05,-47.39892,48.36372,143.6374,20
2024-03-27_11-50-05,-47.34697,48.34842,144.523,20
2024-03-27_11-50-06,-47.33427,48.35825,148.737,20
2024-03-27_11-50-06,-47.39397,48.33739,150.612,20
2024-03-27_11-50-07,-47.45319,48.27872,147.0894,20
2024-03-27_11-50-07,-47.45919,47.82381,146.9875,21
2024-03-27_11-50-08,-47.44509,47.53899,146.266,21
2024-03-27_11-50-08,-47.45327,47.27946,147.575,22
2024-03-27_11-50-09,-47.45578,46.80021,150.1846,20
2024-03-27_11-50-09,-47.45703,46.63988,149.6659,19
2024-03-27_11-50-10,-47.44508,46.62069,147.3395,19
2024-03-27_11-50-10,-47.46048,46.62697,149.3587,19
2024-03-27_11-50-11,-47.4374,46.32403,149.0967,18
2024-03-27_11-50-11,-47.39712,45.90174,148.9004,17
2024-03-27_11-50-12,-47.44357,45.71475,150.4172,15
2024-03-27_11-50-12,-47.39994,45.58119,150.6398,18
2024-03-27_11-50-13,-47.35291,45.47351,148.8421,16
2024-03-27_11-50-13,-47.37512,45.44745,150.0178,16
2024-03-27_11-50-14,-47.44162,45.46109,147.8616,15
2024-03-27_11-50-14,-47.47496,45.4184,147.3466,14
2024-03-27_11-50-15,-47.41785,44.97638,148.0171,19
2024-03-27_11-50-15,-47.41115,44.55244,146.8589,18
2024-03-27_11-50-16,-47.40107,44.10227,145.445,19
2024-03-27_11-50-16,-47.34742,43.74651,146.0131,18
2024-03-27_11-50-17,-47.38092,43.69185,144.9605,17
2024-03-27_11-50-17,-47.37411,43.48835,144.7685,19
2024-03-27_11-50-18,-47.45324,43.20416,147.7896,20
2024-03-27_11-50-18,-47.40559,42.85662,154.0673,19
2024-03-27_11-50-19,-47.43138,42.48475,156.519,16
2024-03-27_11-50-19,-47.44268,42.34545,150.2484,12
2024-03-27_11-50-20,-47.42456,42.1341,151.4206,16
2024-03-27_11-50-20,-47.36164,42.05838,149.7672,16
2024-03-27_11-50-21,-47.35982,42.05169,151.4319,16
2024-03-27_11-50-21,-47.43908,42.06609,151.08,12
2024-03-27_11-50-22,-47.4577,41.78703,148.401,10
2024-03-27_11-50-22,-47.45051,41.29418,146.1211,15
2024-03-27_11-50-23,-47.44487,41.08138,146.9707,15
2024-03-27_11-50-23,-47.42419,40.54696,145.7144,15
2024-03-27_11-50-24,-47.35427,39.94665,148.1013,14
2024-03-27_11-50-24,-47.39426,39.6952,147.745,14
2024-03-27_11-50-25,-47.36263,38.90493,146.664,12
2024-03-27_11-50-26,-47.41921,38.35772,148.4584,13
2024-03-27_11-50-26,-47.3857,38.01796,148.7873,13
2024-03-27_11-50-27,-47.37419,37.82514,149.1239,11
