2024-03-26_12-35-13_remote-2haptics maze.txt,id1=25,id2=24,04:28:41
2024-03-26_12-38-56,26.60626,-16.54942,357.9703,5
2024-03-26_12-38-57,25.24775,-17.67397,357.279,5
2024-03-26_12-38-58,24.93368,-17.60249,3.595968,5
2024-03-26_12-38-59,20.93225,-14.36438,6.907135,5
2024-03-26_12-39-00,20.40361,-13.98502,358.9792,4
2024-03-26_12-39-01,16.74166,-15.69659,349.9284,7
2024-03-26_12-39-02,16.66459,-17.77576,68.41572,6
2024-03-26_12-39-03,16.93018,-19.66701,67.35825,7
2024-03-26_12-39-04,17.68646,-22.18876,61.94186,9
2024-03-26_12-39-05,18.57975,-24.34145,61.75866,9
2024-03-26_12-39-06,19.45522,-28.26072,60.81585,5
2024-03-26_12-39-07,19.71735,-28.55376,48.06383,4
2024-03-26_12-39-08,23.34079,-31.23519,75.40749,3
2024-03-26_12-39-09,22.655,-32.28077,356.0503,3
2024-03-26_12-39-10,20.26878,-33.29356,3.589565,2
2024-03-26_12-39-11,16.24976,-33.60801,359.8475,3
2024-03-26_12-39-12,11.29609,-34.57418,355.9573,4
2024-03-26_12-39-13,10.17785,-34.66663,64.08138,4
2024-03-26_12-39-14,10.22791,-34.73074,62.7618,4
2024-03-26_12-39-15,11.53853,-34.70652,65.33481,3
2024-03-26_12-39-16,12.19801,-34.76449,63.31092,3
2024-03-26_12-39-17,14.89324,-34.78508,61.65009,4
2024-03-26_12-39-18,15.33808,-34.67618,67.27741,7
2024-03-26_12-39-19,15.34517,-34.74414,69.7108,4
2024-03-26_12-39-20,15.74576,-34.76308,67.16987,3
2024-03-26_12-39-21,15.70382,-34.67595,346.5306,3
2024-03-26_12-39-22,15.77092,-34.65733,63.32893,3
2024-03-26_12-39-23,15.75976,-34.66207,63.56379,3
2024-03-26_12-39-24,15.72785,-34.63862,347.3435,3
2024-03-26_12-39-25,15.16843,-34.68006,73.31279,5
2024-03-26_12-39-26,14.85777,-34.63474,51.25833,4
2024-03-26_12-39-27,14.98286,-34.73053,69.45723,4
2024-03-26_12-39-29,16.55338,-34.79592,62.60388,3
2024-03-26_12-39-30,17.4001,-34.78452,66.94,3
2024-03-26_12-39-31,17.47342,-34.72996,347.3581,4
2024-03-26_12-39-32,17.47302,-34.63291,355.5615,4
2024-03-26_12-39-33,17.57054,-34.66019,73.26202,3
2024-03-26_12-39-34,17.54067,-34.70044,65.16139,4
2024-03-26_12-39-35,17.56926,-34.70803,67.26412,4
2024-03-26_12-39-36,17.76838,-34.79951,67.47895,4
2024-03-26_12-39-37,17.81996,-34.82873,70.06907,4
2024-03-26_12-39-38,18.1785,-34.83706,60.89991,3
2024-03-26_12-39-39,19.1699,-34.77092,55.4162,4
2024-03-26_12-39-40,18.82855,-34.79544,70.51907,3
2024-03-26_12-39-41,18.29422,-34.78051,67.80369,3
2024-03-26_12-39-42,18.49781,-34.5718,41.13042,3
2024-03-26_12-39-43,18.49721,-34.44545,28.29719,1
2024-03-26_12-39-44,19.01162,-33.10594,30.64058,1
2024-03-26_12-39-45,20.36871,-32.12167,49.16233,2
2024-03-26_12-39-46,20.39818,-32.03763,38.911,2
2024-03-26_12-39-47,22.12122,-32.92905,47.64996,2
2024-03-26_12-39-48,23.50777,-30.21858,15.91458,1
2024-03-26_12-39-49,22.08504,-27.75809,4.642828,1
2024-03-26_12-39-50,22.06278,-27.69331,356.1108,2
2024-03-26_12-39-51,22.0928,-27.57752,352.165,1
2024-03-26_12-39-52,22.09712,-27.61228,1.900097,1
2024-03-26_12-39-53,22.05806,-27.62796,1.415833,1
2024-03-26_12-39-54,22.04987,-27.62397,0.3398414,2
