2024-03-27_11-30-57_player-2spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-33-03,-2.064739,-33.1683,307.8525,15
2024-03-27_11-33-04,-2.49264,-33.11721,304.0919,15
2024-03-27_11-33-04,-3.561566,-33.0232,305.3538,15
2024-03-27_11-33-05,-4.35302,-32.96865,304.6966,14
2024-03-27_11-33-06,-5.27418,-32.89472,306.2918,13
2024-03-27_11-33-06,-5.809219,-32.83808,305.5564,11
2024-03-27_11-33-07,-6.923123,-32.70618,307.6559,11
2024-03-27_11-33-07,-7.915053,-32.59279,307.063,10
2024-03-27_11-33-08,-8.614561,-32.53621,305.5373,10
2024-03-27_11-33-08,-8.886948,-32.50839,305.3096,10
2024-03-27_11-33-09,-9.766526,-32.42185,305.5871,11
2024-03-27_11-33-09,-11.46715,-32.22532,310.7353,11
2024-03-27_11-33-10,-12.25614,-32.10403,309.0497,9
2024-03-27_11-33-10,-13.05479,-31.94134,309.4106,8
2024-03-27_11-33-11,-14.02953,-31.77656,309.3731,8
2024-03-27_11-33-11,-14.45235,-31.68898,311.4293,8
2024-03-27_11-33-12,-15.64134,-31.35919,315.8299,7
2024-03-27_11-33-12,-16.14378,-31.18036,319.5997,7
2024-03-27_11-33-13,-16.25671,-31.10805,332.0541,8
2024-03-27_11-33-13,-16.82581,-30.4924,344.9888,6
2024-03-27_11-33-14,-17.72171,-29.2621,337.8127,6
2024-03-27_11-33-14,-18.67305,-28.31851,332.3757,6
2024-03-27_11-33-15,-18.88862,-28.18414,314.0005,6
2024-03-27_11-33-15,-18.94749,-28.13454,310.7688,6
2024-03-27_11-33-16,-19.185,-28.08644,305.9481,6
2024-03-27_11-33-16,-20.16389,-28.01247,305.7029,6
2024-03-27_11-33-17,-21.4917,-27.91474,302.3964,5
2024-03-27_11-33-17,-22.14506,-27.91441,300.5524,6
2024-03-27_11-33-18,-22.78773,-27.95978,296.082,4
2024-03-27_11-33-18,-23.27598,-28.01243,296.1723,4
2024-03-27_11-33-19,-24.43852,-28.19101,293.9463,3
2024-03-27_11-33-19,-25.71907,-28.46126,291.8587,4
2024-03-27_11-33-20,-25.88929,-28.51615,288.194,4
2024-03-27_11-33-20,-25.98057,-28.58713,278.3231,4
2024-03-27_11-33-21,-26.32801,-28.95093,263.6991,4
2024-03-27_11-33-21,-26.72961,-29.44884,176.1056,4
2024-03-27_11-33-22,-26.78664,-29.55717,160.8481,3
2024-03-27_11-33-22,-26.80005,-29.6119,196.7945,3
2024-03-27_11-33-23,-27.02727,-29.71683,273.8412,3
2024-03-27_11-33-23,-27.46633,-29.80238,301.1775,3
2024-03-27_11-33-24,-27.83515,-29.72006,316.6746,4
2024-03-27_11-33-24,-27.82077,-29.44139,332.1014,3
2024-03-27_11-33-25,-27.81622,-28.96493,348.8514,3
2024-03-27_11-33-25,-27.80631,-28.23372,2.620414,3
2024-03-27_11-33-26,-27.71794,-26.71403,16.58495,3
2024-03-27_11-33-26,-27.54074,-26.3707,24.76753,3
2024-03-27_11-33-27,-27.48464,-26.32751,36.94233,3
2024-03-27_11-33-27,-27.33402,-26.33584,50.69362,3
2024-03-27_11-33-28,-26.43894,-26.39113,62.32751,3
2024-03-27_11-33-28,-25.44492,-26.43345,71.32543,3
2024-03-27_11-33-29,-25.19932,-26.46005,80.86111,4
2024-03-27_11-33-29,-24.71643,-26.55212,83.03736,5
2024-03-27_11-33-30,-23.71664,-26.75923,85.60726,4
2024-03-27_11-33-30,-23.28861,-26.8653,85.1322,3
2024-03-27_11-33-31,-22.87225,-26.95084,81.5154,3
2024-03-27_11-33-31,-22.0771,-27.16728,87.22969,3
2024-03-27_11-33-32,-21.01117,-27.5215,89.2422,3
2024-03-27_11-33-32,-20.20074,-27.82823,91.27686,3
2024-03-27_11-33-33,-19.90126,-27.97378,99.6175,3
2024-03-27_11-33-33,-19.57249,-28.21447,103.7556,3
2024-03-27_11-33-34,-19.25442,-28.48375,104.7026,3
2024-03-27_11-33-34,-18.39381,-28.82684,101.478,3
2024-03-27_11-33-35,-17.40684,-29.36889,104.408,3
2024-03-27_11-33-35,-16.53186,-30.11682,106.2076,3
2024-03-27_11-33-36,-16.15203,-30.43545,103.5276,3
2024-03-27_11-33-36,-15.36568,-31.05633,99.63336,4
2024-03-27_11-33-37,-14.84497,-31.35886,95.39986,7
2024-03-27_11-33-37,-13.93839,-31.6881,85.94501,8
2024-03-27_11-33-38,-12.87893,-31.99309,82.69642,9
2024-03-27_11-33-38,-12.09842,-32.15363,83.05737,9
2024-03-27_11-33-39,-11.12395,-32.37045,83.7438,6
2024-03-27_11-33-39,-9.936232,-32.69818,87.95599,6
2024-03-27_11-33-40,-8.319178,-33.23367,82.98665,4
2024-03-27_11-33-40,-6.546527,-33.58395,79.03612,4
2024-03-27_11-33-41,-5.974623,-33.67161,78.80893,4
2024-03-27_11-33-41,-5.758087,-33.67531,74.49137,4
2024-03-27_11-33-42,-5.268989,-33.6563,75.75035,4
2024-03-27_11-33-42,-3.846708,-33.50643,73.23189,4
2024-03-27_11-33-43,-1.804483,-33.43762,75.35143,4
2024-03-27_11-33-43,-0.4270574,-33.50239,78.62189,4
2024-03-27_11-33-44,-0.05926301,-33.55358,85.49426,4
2024-03-27_11-33-44,0.7708004,-33.66092,89.00261,4
2024-03-27_11-33-45,2.299074,-33.80296,92.35522,5
2024-03-27_11-33-45,3.318949,-34.21164,98.1796,4
2024-03-27_11-33-46,3.414942,-34.28602,110.8637,4
2024-03-27_11-33-46,3.78192,-34.93744,116.2671,6
2024-03-27_11-33-47,4.126145,-36.16477,133.2043,3
2024-03-27_11-33-47,4.352221,-37.46093,135.3415,5
2024-03-27_11-33-48,4.363939,-37.6173,138.6098,5
2024-03-27_11-33-48,4.374087,-38.14209,140.9758,5
2024-03-27_11-33-49,4.362694,-38.55154,143.3491,5
2024-03-27_11-33-49,4.325017,-39.08082,143.3801,5
2024-03-27_11-33-50,4.262828,-40.30143,142.8318,5
2024-03-27_11-33-50,4.306852,-41.58316,136.2942,5
2024-03-27_11-33-51,4.40615,-41.90024,122.9057,6
2024-03-27_11-33-51,4.618416,-42.22818,110.4414,5
2024-03-27_11-33-52,4.654396,-42.25278,99.36312,1
2024-03-27_11-33-52,4.664351,-42.25075,94.45139,1
2024-03-27_11-33-53,4.877958,-42.41302,103.7405,1
2024-03-27_11-33-53,5.707953,-43.20871,101.8599,3
2024-03-27_11-33-54,6.439265,-43.76987,109.196,2
2024-03-27_11-33-54,7.159993,-44.04636,109.2648,2
2024-03-27_11-33-55,7.370314,-44.24622,112.0994,3
2024-03-27_11-33-55,7.635227,-44.51861,110.6887,3
2024-03-27_11-33-56,8.072409,-44.99661,108.0198,3
2024-03-27_11-33-56,8.69372,-45.61989,104.1269,3
