2024-03-27_12-01-31_remote-1haptics maze.txt,id1=12,id2=21,00:57:61
2024-03-27_12-01-36,-47.01374,-46.90018,338.2108,7
2024-03-27_12-01-37,-47.00996,-46.91278,338.257,7
2024-03-27_12-01-38,-47.0104,-46.91322,338.0071,7
2024-03-27_12-01-39,-47.01061,-46.91444,338.0237,7
2024-03-27_12-01-40,-47.01043,-46.91603,337.8282,7
2024-03-27_12-01-41,-47.01076,-46.91099,338.6581,7
2024-03-27_12-01-42,-47.04361,-46.89466,339.1276,7
2024-03-27_12-01-43,-46.93663,-45.852,337.5107,7
2024-03-27_12-01-44,-46.84444,-43.34351,338.8646,11
2024-03-27_12-01-45,-46.83335,-43.27734,337.1687,11
2024-03-27_12-01-46,-46.88639,-39.97348,340.0233,10
2024-03-27_12-01-47,-46.55328,-38.33738,338.0757,9
2024-03-27_12-01-48,-46.72491,-37.21965,337.1199,10
2024-03-27_12-01-49,-46.71956,-36.09114,335.9189,8
2024-03-27_12-01-50,-46.94636,-34.03333,335.9569,11
2024-03-27_12-01-51,-47.28344,-31.40282,337.4979,14
2024-03-27_12-01-52,-47.23519,-30.51605,336.9683,14
2024-03-27_12-01-53,-47.29294,-27.77568,338.331,15
2024-03-27_12-01-54,-47.1511,-26.23056,337.1922,12
2024-03-27_12-01-55,-47.12837,-25.21593,340.0171,12
2024-03-27_12-01-56,-47.10066,-25.1126,341.69,13
2024-03-27_12-01-57,-45.84286,-21.7628,342.3632,11
2024-03-27_12-01-58,-45.57678,-21.36934,353.4582,11
2024-03-27_12-01-59,-45.53164,-21.40479,358.4803,11
2024-03-27_12-02-00,-45.57281,-21.48755,9.738436,11
2024-03-27_12-02-01,-45.62337,-21.56077,309.5253,11
2024-03-27_12-02-02,-45.71615,-21.62902,292.5297,13
2024-03-27_12-02-03,-45.71325,-21.79312,294.5834,13
2024-03-27_12-02-04,-45.63224,-22.72294,289.9263,12
2024-03-27_12-02-05,-45.66624,-23.55566,298.9148,12
2024-03-27_12-02-06,-45.64952,-23.66135,300.1386,12
2024-03-27_12-02-07,-46.01634,-23.84016,297.5859,9
2024-03-27_12-02-08,-46.51788,-25.62917,290.5962,9
2024-03-27_12-02-09,-46.37246,-28.28602,293.1117,12
2024-03-27_12-02-10,-46.32813,-32.11063,290.1819,8
2024-03-27_12-02-11,-46.28492,-33.89603,292.8344,8
2024-03-27_12-02-12,-46.20279,-36.65508,285.9254,6
2024-03-27_12-02-13,-45.87008,-37.66523,12.42879,6
2024-03-27_12-02-14,-45.83382,-37.70176,9.450077,6
2024-03-27_12-02-15,-45.82637,-37.69513,7.761796,7
2024-03-27_12-02-16,-43.74546,-38.70346,8.562886,7
2024-03-27_12-02-17,-41.9277,-40.64651,14.96012,5
2024-03-27_12-02-18,-39.37512,-43.39814,20.66071,6
2024-03-27_12-02-19,-38.29379,-44.20242,14.6267,8
2024-03-27_12-02-20,-36.52287,-45.77577,17.44803,4
2024-03-27_12-02-21,-34.08171,-47.67373,8.702241,4
2024-03-27_12-02-22,-34.02687,-47.61747,359.7009,4
2024-03-27_12-02-23,-34.08205,-47.54869,349.134,5
2024-03-27_12-02-24,-33.13447,-46.31635,346.6033,5
2024-03-27_12-02-25,-31.66792,-44.78596,349.508,4
2024-03-27_12-02-26,-31.15184,-44.30779,355.927,2
2024-03-27_12-02-27,-29.75621,-42.947,4.834798,2
2024-03-27_12-02-29,-29.71172,-42.94083,5.584829,2
2024-03-27_12-02-30,-27.69428,-43.50323,6.933872,2
2024-03-27_12-02-31,-25.95722,-43.82193,5.020817,2
2024-03-27_12-02-32,-25.458,-43.61857,6.705102,2
2024-03-27_12-02-33,-23.43606,-43.70315,10.03761,3
2024-03-27_12-02-34,-23.26522,-43.88334,10.80743,3
2024-03-27_12-02-35,-20.9277,-46.17484,9.162393,0
2024-03-27_12-02-36,-20.70272,-46.39456,2.346465,0
2024-03-27_12-02-37,-19.61578,-46.41035,355.9211,0
2024-03-27_12-02-38,-18.37105,-46.31584,356.8829,0
2024-03-27_12-02-39,-13.71949,-46.09408,355.1132,0
2024-03-27_12-02-40,-12.70592,-45.90674,349.1663,0
2024-03-27_12-02-41,-12.66322,-45.90485,349.1832,0
2024-03-27_12-02-42,-12.76443,-45.94914,340.0797,0
2024-03-27_12-02-43,-12.83302,-45.75499,335.7871,0
2024-03-27_12-02-44,-12.86006,-45.7845,331.8564,0
2024-03-27_12-02-45,-12.79549,-45.7457,342.7333,0
2024-03-27_12-02-46,-12.77237,-45.76715,354.23,0
2024-03-27_12-02-47,-12.76235,-45.76757,353.8249,1
2024-03-27_12-02-48,-12.55858,-45.56156,343.6459,1
2024-03-27_12-02-49,-12.56172,-45.53712,342.8167,1
2024-03-27_12-02-50,-12.6046,-45.52198,331.284,1
2024-03-27_12-02-51,-12.57352,-45.5047,335.4543,1
2024-03-27_12-02-52,-12.69528,-45.52193,326.7126,1
2024-03-27_12-02-53,-12.69522,-45.52204,313.1849,1
2024-03-27_12-02-54,-12.69518,-45.52211,307.5799,1
2024-03-27_12-02-55,-12.6952,-45.52206,305.2822,1
2024-03-27_12-02-56,-12.69523,-45.52201,304.3078,1
2024-03-27_12-02-57,-12.69527,-45.52194,304.5117,1
2024-03-27_12-02-58,-12.69514,-45.52217,299.7351,1
2024-03-27_12-02-59,-12.69524,-45.522,302.4609,1
2024-03-27_12-03-00,-12.69519,-45.52209,300.0508,1
2024-03-27_12-03-01,-12.69525,-45.52197,302.5734,1
2024-03-27_12-03-02,-12.69526,-45.52196,303.0954,1
2024-03-27_12-03-03,-12.6952,-45.52207,299.3288,1
2024-03-27_12-03-04,-12.69517,-45.52212,297.528,1
2024-03-27_12-03-05,-12.69523,-45.52202,301.0811,1
2024-03-27_12-03-06,-12.69528,-45.52192,304.624,1
2024-03-27_12-03-07,-12.69526,-45.52195,302.8835,1
2024-03-27_12-03-08,-12.69519,-45.52209,297.3461,1
2024-03-27_12-03-09,-12.76249,-45.40168,112.2969,1
2024-03-27_12-03-10,-12.7687,-45.39056,114.9877,1
2024-03-27_12-03-11,-12.76874,-45.39051,117.5745,1
2024-03-27_12-03-12,-12.76875,-45.39048,118.6696,1
2024-03-27_12-03-13,-12.76869,-45.39059,118.8554,1
2024-03-27_12-03-14,-12.76867,-45.39064,118.821,1
2024-03-27_12-03-15,-12.76869,-45.39059,119.1248,1
2024-03-27_12-03-16,-12.76868,-45.39061,119.1171,1
2024-03-27_12-03-17,-13.1436,-44.71977,123.1392,1
2024-03-27_12-03-18,-13.21192,-44.59752,107.6386,1
2024-03-27_12-03-19,-13.45291,-44.16632,101.9002,1
2024-03-27_12-03-20,-13.45484,-44.16285,113.1308,1
