2024-03-26_14-48-57_remote-1spatial maze.txt,id1=26,id2=27,4:50:38
2024-03-26_14-50-07,47.78917,-0.8906459,333.8821,15
2024-03-26_14-50-07,-46.91607,-46.93528,315.4023,15
2024-03-26_14-50-07,-46.95958,-46.9826,321.7482,15
2024-03-26_14-50-08,-46.96732,-47.06245,283.6342,15
2024-03-26_14-50-08,-46.97111,-47.05628,268.9526,15
2024-03-26_14-50-09,-46.92551,-46.92961,340.668,15
2024-03-26_14-50-09,-47.02108,-46.91729,356.2446,15
2024-03-26_14-50-10,-46.99138,-46.68901,355.062,16
2024-03-26_14-50-10,-46.97178,-46.57332,355.1077,16
2024-03-26_14-50-11,-46.9712,-46.59344,346.5284,16
2024-03-26_14-50-11,-46.97171,-46.59255,347.8817,16
2024-03-26_14-50-12,-46.98483,-46.58953,7.641411,16
2024-03-26_14-50-12,-46.89863,-46.59137,21.78386,16
2024-03-26_14-50-13,-46.92941,-46.5783,22.56284,16
2024-03-26_14-50-13,-46.98935,-46.56853,7.388623,16
2024-03-26_14-50-14,-46.92726,-46.57644,12.85048,16
2024-03-26_14-50-14,-46.86675,-46.58802,18.11123,16
2024-03-26_14-50-15,-46.86732,-46.58193,18.79498,16
2024-03-26_14-50-15,-46.90149,-46.5657,4.8867,16
2024-03-26_14-50-16,-46.94521,-46.56276,356.4296,16
2024-03-26_14-50-16,-46.96713,-46.53052,354.0124,16
2024-03-26_14-50-17,-46.98529,-46.46201,3.058095,16
2024-03-26_14-50-17,-47.03382,-46.36317,5.745295,16
2024-03-26_14-50-18,-47.06116,-46.31126,7.63733,16
2024-03-26_14-50-18,-47.08469,-46.26562,8.133066,16
2024-03-26_14-50-19,-47.13647,-46.25674,349.4363,16
2024-03-26_14-50-19,-47.20305,-46.28701,337.3829,16
2024-03-26_14-50-20,-47.21004,-46.32253,330.4791,16
2024-03-26_14-50-20,-47.1932,-46.32166,332.6425,16
2024-03-26_14-50-21,-47.07936,-46.30296,349.988,16
2024-03-26_14-50-21,-46.95683,-46.34529,9.614663,17
2024-03-26_14-50-22,-46.92192,-46.46479,13.81202,17
2024-03-26_14-50-22,-46.92905,-46.5864,45.83965,17
2024-03-26_14-50-23,-46.92718,-46.58775,48.68005,17
2024-03-26_14-50-23,-46.95885,-46.54039,16.57567,17
2024-03-26_14-50-24,-46.9828,-46.53062,0.6297317,17
2024-03-26_14-50-24,-46.99046,-46.51363,353.8896,17
2024-03-26_14-50-25,-46.99456,-46.50825,351.7819,16
2024-03-26_14-50-25,-47.01259,-46.52008,341.0316,16
2024-03-26_14-50-26,-46.96469,-46.52379,338.7837,18
2024-03-26_14-50-26,-46.95966,-46.38432,347.8053,17
2024-03-26_14-50-27,-47.07093,-45.74688,347.5791,14
2024-03-26_14-50-27,-47.06089,-44.67282,354.2919,13
2024-03-26_14-50-28,-46.73883,-43.04837,356.7889,11
2024-03-26_14-50-28,-46.51507,-41.44312,357.0344,13
2024-03-26_14-50-29,-46.44179,-40.09065,5.384204,14
2024-03-26_14-50-29,-46.31889,-39.20442,49.4318,13
2024-03-26_14-50-30,-46.22355,-39.0683,50.04814,12
2024-03-26_14-50-30,-46.04205,-38.83617,45.9265,10
2024-03-26_14-50-31,-44.97784,-38.53171,59.38626,10
2024-03-26_14-50-31,-43.68953,-38.71204,62.7581,10
2024-03-26_14-50-32,-42.37514,-38.67574,40.86774,14
2024-03-26_14-50-32,-41.22121,-38.38204,50.92879,15
2024-03-26_14-50-33,-40.20763,-38.30959,39.39211,17
2024-03-26_14-50-33,-39.3395,-38.23873,46.61547,17
2024-03-26_14-50-34,-38.15726,-38.09138,51.56152,14
