2024-03-27_13-19-15_player-2spatial maze.txt,id1=29,id2=28,00:50:32
2024-03-27_13-20-51,45.72426,-1.87332,305.1288,9
2024-03-27_13-20-52,43.6524,-1.862685,280.8547,9
2024-03-27_13-20-52,41.35034,-1.863663,282.5279,9
2024-03-27_13-20-53,39.16545,-1.851915,282.4458,9
2024-03-27_13-20-53,36.7734,-1.738659,286.315,9
2024-03-27_13-20-54,34.79728,-1.530143,288.3453,9
2024-03-27_13-20-54,32.96797,-0.425477,331.6458,9
2024-03-27_13-20-55,32.34573,2.041337,346.8871,11
2024-03-27_13-20-55,32.42802,4.173292,0.1751205,10
2024-03-27_13-20-56,33.60685,6.030171,27.10413,10
2024-03-27_13-20-56,35.24567,6.87149,61.51295,9
2024-03-27_13-20-57,37.27308,6.183285,92.78568,10
2024-03-27_13-20-57,38.44092,4.632241,171.6579,11
2024-03-27_13-20-58,39.91507,3.014596,75.96516,11
2024-03-27_13-20-58,41.96174,3.240188,22.65355,11
2024-03-27_13-20-59,43.01362,4.455038,359.5238,10
2024-03-27_13-20-59,43.63282,6.566421,12.30869,12
2024-03-27_13-21-00,44.44143,7.824251,23.49078,12
2024-03-27_13-21-00,46.21119,9.102872,19.86148,12
2024-03-27_13-21-01,47.2,10.43137,349.3745,14
2024-03-27_13-21-01,46.10768,12.27478,298.6855,12
2024-03-27_13-21-02,44.8517,12.71102,284.8134,12
2024-03-27_13-21-02,42.67741,12.81484,289.2218,12
2024-03-27_13-21-03,40.36213,13.00119,286.6727,12
2024-03-27_13-21-03,37.94705,13.334,288.2792,11
2024-03-27_13-21-04,35.81139,13.68064,290.6706,12
2024-03-27_13-21-05,33.84721,14.08331,306.7217,13
2024-03-27_13-21-05,32.42754,15.58535,340.5274,11
2024-03-27_13-21-06,31.45475,17.69112,312.7689,11
2024-03-27_13-21-06,29.36587,17.93651,258.9606,10
2024-03-27_13-21-07,27.77244,16.64426,247.4163,11
2024-03-27_13-21-07,26.47605,15.04039,245.3712,11
2024-03-27_13-21-08,25.05884,13.5164,270.8945,10
2024-03-27_13-21-08,22.69478,14.23601,318.7664,9
2024-03-27_13-21-09,21.26348,15.95788,322.9792,8
2024-03-27_13-21-09,20.00069,17.84901,324.2628,11
2024-03-27_13-21-10,18.92215,19.07071,323.7308,10
2024-03-27_13-21-10,18.26995,19.54759,324.3134,10
2024-03-27_13-21-11,18.14133,19.63925,311.7541,10
2024-03-27_13-21-11,17.13822,18.48869,238.3214,10
2024-03-27_13-21-12,16.68679,18.06272,282.5967,10
2024-03-27_13-21-12,16.52044,19.49972,343.9445,10
2024-03-27_13-21-13,15.7578,21.61279,310.9922,9
2024-03-27_13-21-13,13.52558,22.46562,281.3999,10
2024-03-27_13-21-14,11.30657,22.19227,267.8779,8
2024-03-27_13-21-14,9.070688,21.48864,258.4844,8
2024-03-27_13-21-15,6.916368,20.38248,249.3904,8
2024-03-27_13-21-15,5.452312,18.67398,258.132,8
2024-03-27_13-21-16,3.283337,18.20858,287.4215,8
