2024-03-27_12-22-22_player-2spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-23-31,46.3591,33.30162,145.6333,12
2024-03-27_12-23-32,46.40458,31.99018,141.5838,14
2024-03-27_12-23-32,46.44088,30.79038,139.8168,13
2024-03-27_12-23-33,46.41253,29.60204,141.3974,14
2024-03-27_12-23-33,46.36464,28.68979,146.1376,13
2024-03-27_12-23-34,46.39936,27.53459,145.0682,13
2024-03-27_12-23-34,46.43624,26.55249,135.9058,12
2024-03-27_12-23-35,46.37155,24.87429,125.4175,14
2024-03-27_12-23-35,46.36459,24.01476,145.5612,15
2024-03-27_12-23-36,46.38779,22.69364,147.0653,14
2024-03-27_12-23-36,46.42298,21.81786,148.4055,13
2024-03-27_12-23-37,46.41087,19.92822,152.0367,14
2024-03-27_12-23-37,45.88549,18.7364,245.7329,14
2024-03-27_12-23-38,43.9332,18.54882,302.5972,13
2024-03-27_12-23-38,42.53896,18.65623,307.9942,13
2024-03-27_12-23-39,42.25806,18.67594,307.6184,13
2024-03-27_12-23-39,41.44054,18.86304,307.8134,13
2024-03-27_12-23-40,39.47505,18.91713,313.7038,13
2024-03-27_12-23-40,38.5137,19.41579,338.6448,12
2024-03-27_12-23-41,37.32339,20.85792,333.0738,13
2024-03-27_12-23-42,35.97009,21.47838,306.3644,13
2024-03-27_12-23-42,34.06773,21.8505,306.2832,13
2024-03-27_12-23-43,33.35612,21.94109,306.8677,13
2024-03-27_12-23-43,31.50812,22.32703,316.4262,13
2024-03-27_12-23-44,29.77968,23.20898,328.6253,11
2024-03-27_12-23-44,28.82597,23.43056,300.1742,11
2024-03-27_12-23-45,27.25729,23.13329,306.9171,13
2024-03-27_12-23-45,26.49952,23.22305,306.7195,13
2024-03-27_12-23-46,24.39638,23.75348,318.6576,12
2024-03-27_12-23-46,22.79218,25.01338,341.3288,12
2024-03-27_12-23-47,21.84125,26.12971,334.1584,13
2024-03-27_12-23-47,20.98541,26.85482,329.0857,10
2024-03-27_12-23-48,20.26338,27.47433,330.0645,10
2024-03-27_12-23-48,19.26346,28.49937,339.7092,9
2024-03-27_12-23-49,18.64593,29.97971,359.1404,10
2024-03-27_12-23-49,18.3577,31.44292,12.99855,10
2024-03-27_12-23-50,18.54018,32.18429,16.90326,10
2024-03-27_12-23-50,18.79882,33.04572,19.64762,11
2024-03-27_12-23-51,18.83413,35.114,22.89452,10
2024-03-27_12-23-51,19.06306,36.56971,44.92154,10
2024-03-27_12-23-52,20.21541,37.5255,43.06367,10
2024-03-27_12-23-52,20.70665,38.11596,32.48869,10
2024-03-27_12-23-53,21.02966,38.82911,18.4605,10
2024-03-27_12-23-53,21.73079,40.48592,9.19546,11
2024-03-27_12-23-54,22.01144,42.32036,13.92769,11
2024-03-27_12-23-54,22.33152,43.75524,26.8368,13
2024-03-27_12-23-55,22.32248,43.97924,3.132255,13
2024-03-27_12-23-55,22.25515,44.19193,352.8882,13
2024-03-27_12-23-56,21.50365,46.10896,336.1598,17
2024-03-27_12-23-56,21.01119,46.47274,302.5686,17
2024-03-27_12-23-57,20.31747,46.63733,300.7151,15
2024-03-27_12-23-57,18.9657,46.56252,298.2862,14
2024-03-27_12-23-58,18.16794,46.48375,295.3236,14
2024-03-27_12-23-58,17.86881,46.45345,301.7852,14
2024-03-27_12-23-59,17.38109,46.54178,314.6133,15
2024-03-27_12-23-59,17.56178,46.6013,31.68581,14
2024-03-27_12-24-00,19.51083,46.7913,80.19564,14
2024-03-27_12-24-00,21.45396,46.43941,109.9891,17
2024-03-27_12-24-01,21.73988,46.34053,130.9235,17
2024-03-27_12-24-01,21.80614,46.18932,134.3539,17
2024-03-27_12-24-02,21.93129,45.6097,133.2425,14
2024-03-27_12-24-02,22.06615,44.45253,137.7134,9
2024-03-27_12-24-03,22.05494,42.572,144.3005,9
2024-03-27_12-24-03,21.92283,41.62861,150.4102,12
2024-03-27_12-24-04,21.79765,40.96654,149.9329,12
2024-03-27_12-24-04,21.77473,40.84405,154.4368,12
2024-03-27_12-24-05,21.69038,40.55738,151.5299,10
2024-03-27_12-24-05,21.50712,39.74226,151.9078,9
2024-03-27_12-24-06,21.23068,38.93609,156.7074,10
2024-03-27_12-24-06,20.54533,37.51723,238.7318,12
2024-03-27_12-24-07,19.2701,36.58058,276.5103,10
2024-03-27_12-24-07,17.97364,35.43824,220.3498,10
2024-03-27_12-24-08,18.15705,34.23017,135.6806,12
2024-03-27_12-24-08,18.7368,31.92496,128.0065,12
2024-03-27_12-24-09,18.77911,30.62564,132.9367,12
2024-03-27_12-24-09,18.87448,28.87317,123.8437,10
2024-03-27_12-24-10,19.63483,28.10141,90.55885,10
2024-03-27_12-24-10,21.44269,27.33923,108.2374,10
2024-03-27_12-24-11,21.6571,26.26468,140.1347,11
2024-03-27_12-24-11,22.36333,25.04352,104.1036,12
2024-03-27_12-24-12,23.51734,24.04267,92.22574,11
2024-03-27_12-24-12,25.25469,23.53282,76.31133,12
2024-03-27_12-24-13,26.85963,23.58834,44.24401,12
2024-03-27_12-24-13,27.09773,23.55135,72.59576,11
2024-03-27_12-24-14,27.13334,23.55888,78.74226,11
2024-03-27_12-24-14,27.12448,23.56903,73.97237,12
2024-03-27_12-24-15,27.07155,23.57097,85.22432,12
2024-03-27_12-24-15,26.99191,23.58484,125.0449,12
2024-03-27_12-24-16,26.99785,23.49336,130.9811,12
2024-03-27_12-24-16,27.07193,23.41662,79.05181,12
2024-03-27_12-24-17,27.08933,23.39712,76.95786,12
2024-03-27_12-24-17,27.07397,23.37481,81.56174,12
2024-03-27_12-24-18,27.00764,23.37118,115.3618,12
2024-03-27_12-24-18,26.96706,23.35175,134.8618,12
2024-03-27_12-24-19,27.03673,23.33826,105.6821,12
2024-03-27_12-24-19,27.7857,23.14827,82.71869,12
2024-03-27_12-24-20,28.63997,22.98013,82.53425,10
2024-03-27_12-24-20,28.94866,22.91091,82.04068,10
2024-03-27_12-24-21,30.51863,22.45547,88.53773,12
2024-03-27_12-24-21,32.35741,21.94537,83.39153,12
2024-03-27_12-24-22,33.33383,21.80505,77.58756,12
2024-03-27_12-24-22,33.79063,21.61222,94.31667,12
2024-03-27_12-24-23,34.73384,21.49177,99.91396,13
2024-03-27_12-24-23,35.7114,21.45378,112.3579,13
2024-03-27_12-24-24,35.97849,21.37145,128.4909,12
2024-03-27_12-24-24,36.00109,21.43477,134.6523,12
2024-03-27_12-24-25,36.04825,21.40548,163.9153,12
2024-03-27_12-24-25,34.46049,21.52685,265.6763,10
2024-03-27_12-24-26,32.77612,21.49579,296.9955,11
2024-03-27_12-24-26,31.85267,21.72665,311.771,9
2024-03-27_12-24-27,30.6911,21.94967,291.6165,9
2024-03-27_12-24-27,30.62795,21.96406,268.4897,10
2024-03-27_12-24-28,30.47863,22.02949,162.5379,9
2024-03-27_12-24-28,30.43619,22.03911,145.6055,9
2024-03-27_12-24-29,30.31176,21.52073,249.3514,10
2024-03-27_12-24-29,30.19312,21.52222,302.9281,10
2024-03-27_12-24-30,29.24746,21.67899,313.2051,9
2024-03-27_12-24-30,28.42607,22.08011,330.019,9
2024-03-27_12-24-31,28.15223,22.25009,342.3961,7
2024-03-27_12-24-31,28.0081,22.42992,340.8624,7
2024-03-27_12-24-32,27.80096,22.72948,338.7853,8
2024-03-27_12-24-32,27.21469,24.19711,6.008544,7
2024-03-27_12-24-33,27.12847,24.62733,29.98684,8
2024-03-27_12-24-33,27.16491,24.75182,32.72777,9
2024-03-27_12-24-34,27.7217,25.56696,30.95907,12
2024-03-27_12-24-34,28.69882,26.84532,42.36442,12
2024-03-27_12-24-35,28.80647,26.91096,56.18227,12
2024-03-27_12-24-35,28.79926,26.92211,70.3812,12
2024-03-27_12-24-36,28.90409,26.89746,96.01846,12
2024-03-27_12-24-36,29.84897,26.56768,91.8557,12
2024-03-27_12-24-37,30.99595,26.55305,80.29121,11
2024-03-27_12-24-37,31.40513,26.55071,72.39912,11
2024-03-27_12-24-38,31.41976,26.56349,75.11667,10
2024-03-27_12-24-38,31.45358,26.5692,76.7537,10
2024-03-27_12-24-39,31.4563,26.5363,87.0023,10
2024-03-27_12-24-39,31.93334,26.51295,91.09084,10
2024-03-27_12-24-40,33.33315,26.48287,98.0918,10
2024-03-27_12-24-40,33.57499,26.49964,114.3468,10
2024-03-27_12-24-41,33.70945,26.48423,157.9423,10
2024-03-27_12-24-41,33.03691,26.43018,255.419,11
2024-03-27_12-24-42,31.25061,26.41847,295.4385,10
2024-03-27_12-24-42,29.8208,26.35998,270.0116,11
2024-03-27_12-24-43,29.49705,26.31044,262.9473,11
2024-03-27_12-24-43,29.47497,26.32477,257.105,11
2024-03-27_12-24-44,29.36656,26.30453,256.0078,11
2024-03-27_12-24-44,28.16269,25.20574,264.8835,10
2024-03-27_12-24-45,27.56353,24.07703,189.7512,10
2024-03-27_12-24-45,27.70564,23.36041,114.347,9
2024-03-27_12-24-46,28.60717,22.72775,94.75587,10
2024-03-27_12-24-46,29.00202,22.41975,145.0845,10
2024-03-27_12-24-47,28.10483,22.10346,262.5469,9
2024-03-27_12-24-48,27.38172,21.97656,304.2238,9
2024-03-27_12-24-48,26.67841,22.05322,309.9228,9
2024-03-27_12-24-49,25.92371,22.36482,317.3415,9
2024-03-27_12-24-49,24.65582,22.92899,317.6252,9
2024-03-27_12-24-50,23.48346,23.5634,324.0006,8
2024-03-27_12-24-50,22.29119,24.47519,333.5753,7
2024-03-27_12-24-51,21.54047,25.45941,342.2872,6
2024-03-27_12-24-51,21.16941,26.43122,317.8106,7
2024-03-27_12-24-52,20.52312,26.54253,307.6689,9
2024-03-27_12-24-52,19.86205,26.78639,323.264,9
2024-03-27_12-24-53,18.3367,28.32293,350.2149,9
2024-03-27_12-24-53,17.78222,30.48181,5.423797,11
2024-03-27_12-24-54,17.77958,31.66754,14.66358,11
2024-03-27_12-24-54,17.97332,32.88084,14.23903,9
2024-03-27_12-24-55,18.26198,34.36931,20.0472,10
2024-03-27_12-24-55,18.35605,34.55565,24.80126,10
2024-03-27_12-24-56,18.57863,35.09456,23.68403,10
2024-03-27_12-24-56,19.21802,36.72942,34.846,10
2024-03-27_12-24-57,20.27259,37.93615,50.45665,10
2024-03-27_12-24-57,21.37708,38.60215,57.98665,10
2024-03-27_12-24-58,21.49211,38.6811,61.61882,10
2024-03-27_12-24-58,21.47737,38.64206,91.32666,10
2024-03-27_12-24-59,21.63569,38.41015,107.9043,10
2024-03-27_12-24-59,22.25156,37.83337,79.52295,9
2024-03-27_12-25-00,22.31075,37.76215,76.28065,9
2024-03-27_12-25-00,22.31597,37.69764,95.56917,9
2024-03-27_12-25-01,22.32323,37.66863,110.7956,9
2024-03-27_12-25-01,22.89826,36.65405,112.5254,12
2024-03-27_12-25-02,22.99297,36.50394,123.5347,12
2024-03-27_12-25-02,23.12889,36.45533,151.4356,12
2024-03-27_12-25-03,22.82527,36.38549,254.9725,12
2024-03-27_12-25-03,21.26662,36.42131,284.183,10
2024-03-27_12-25-04,19.28921,36.41969,284.5255,9
2024-03-27_12-25-04,18.47887,36.13219,225.8936,10
2024-03-27_12-25-05,18.51032,35.30613,140.3536,9
2024-03-27_12-25-05,18.71732,34.08479,131.6959,10
2024-03-27_12-25-06,18.77962,32.41248,134.3194,8
2024-03-27_12-25-06,18.7846,31.20416,131.4882,10
2024-03-27_12-25-07,18.81413,30.64398,128.2623,11
2024-03-27_12-25-07,18.82655,30.34102,125.1826,11
2024-03-27_12-25-08,18.8809,28.83432,122.2442,11
2024-03-27_12-25-08,19.81961,27.45792,105.7992,10
2024-03-27_12-25-09,21.16398,26.34973,98.14473,10
2024-03-27_12-25-09,21.6492,25.9529,130.009,10
2024-03-27_12-25-10,21.72778,25.94893,111.7445,10
2024-03-27_12-25-10,21.79003,25.9651,86.3792,10
2024-03-27_12-25-11,21.81368,25.97399,82.7848,10
2024-03-27_12-25-11,21.81901,25.96954,86.94537,10
2024-03-27_12-25-12,22.27751,25.56115,111.556,10
2024-03-27_12-25-12,22.63301,24.93907,130.7033,9
2024-03-27_12-25-13,22.77719,24.86964,99.55347,9
2024-03-27_12-25-13,23.35576,24.44546,85.77135,9
2024-03-27_12-25-14,24.21635,23.93891,88.43768,8
2024-03-27_12-25-14,24.90032,23.65027,84.03523,8
2024-03-27_12-25-15,26.40134,23.32139,80.73099,8
2024-03-27_12-25-15,28.25391,23.05814,71.49613,9
2024-03-27_12-25-16,29.42488,23.07983,75.3061,9
2024-03-27_12-25-16,29.67825,23.10851,82.0512,9
2024-03-27_12-25-17,30.09675,23.04323,79.67786,9
2024-03-27_12-25-17,31.48247,22.84572,80.80509,9
2024-03-27_12-25-18,32.87281,22.5535,86.01912,8
2024-03-27_12-25-18,33.68933,22.33438,85.60385,8
2024-03-27_12-25-19,35.5863,21.74803,88.14997,9
2024-03-27_12-25-19,36.66656,21.12169,109.2156,9
2024-03-27_12-25-20,37.07011,20.60136,116.6172,10
2024-03-27_12-25-20,37.379,20.06604,115.2845,10
2024-03-27_12-25-21,38.64431,18.45175,104.9704,10
2024-03-27_12-25-21,39.75296,17.70719,86.94508,10
2024-03-27_12-25-22,40.19688,17.54276,77.54011,11
2024-03-27_12-25-22,41.46702,17.49471,71.44466,11
2024-03-27_12-25-23,42.60444,17.58899,67.08836,10
2024-03-27_12-25-23,43.38394,17.69502,65.74644,11
2024-03-27_12-25-24,44.52005,17.92281,66.32436,10
2024-03-27_12-25-24,45.5069,18.4425,40.80258,10
2024-03-27_12-25-25,46.14339,19.06215,25.39508,10
2024-03-27_12-25-25,46.92186,20.15129,20.45813,11
2024-03-27_12-25-26,47.12139,20.8047,9.403855,11
2024-03-27_12-25-26,47.15989,20.91558,11.65032,11
2024-03-27_12-25-27,47.27769,21.6935,14.81995,11
2024-03-27_12-25-27,47.30381,22.19239,10.7655,10
2024-03-27_12-25-28,47.3717,23.3912,8.695677,10
2024-03-27_12-25-28,47.45171,25.59897,7.465812,11
2024-03-27_12-25-29,47.48254,27.44441,6.954577,11
2024-03-27_12-25-29,47.49201,29.86771,6.517472,11
2024-03-27_12-25-30,47.47394,31.81711,6.04097,12
2024-03-27_12-25-30,47.41377,33.6389,3.842851,12
2024-03-27_12-25-31,47.26841,35.19278,1.798189,14
2024-03-27_12-25-31,47.10912,36.6428,359.6831,14
2024-03-27_12-25-32,46.71859,38.72236,357.7546,13
2024-03-27_12-25-32,46.40585,40.27546,339.3241,14
2024-03-27_12-25-33,46.16033,41.82545,314.9047,15
2024-03-27_12-25-33,44.72805,41.82854,285.0237,15
2024-03-27_12-25-34,43.90298,41.53376,271.3731,15
2024-03-27_12-25-34,43.81044,41.4949,272.5411,15
2024-03-27_12-25-35,43.77961,41.4534,272.7793,15
2024-03-27_12-25-35,43.69921,41.33958,270.7881,15
2024-03-27_12-25-36,42.78585,40.44132,265.3596,13
2024-03-27_12-25-36,41.97841,39.57772,265.3113,13
2024-03-27_12-25-37,40.45175,38.16941,277.7029,13
2024-03-27_12-25-37,39.40505,37.66301,301.3548,13
2024-03-27_12-25-38,38.38043,37.80019,309.8656,13
2024-03-27_12-25-38,37.98329,37.81622,308.5094,13
2024-03-27_12-25-39,37.35735,37.91911,308.0266,13
2024-03-27_12-25-39,35.35823,38.47609,316.9282,15
2024-03-27_12-25-40,34.04177,38.97609,320.651,15
2024-03-27_12-25-40,33.91424,39.07855,345.3841,15
2024-03-27_12-25-41,33.33856,40.12696,346.3369,13
2024-03-27_12-25-41,32.87644,40.71598,325.6156,10
2024-03-27_12-25-42,31.80827,41.29028,302.8215,11
2024-03-27_12-25-42,31.72987,41.3483,301.7728,11
2024-03-27_12-25-43,31.27983,41.38065,300.8275,10
2024-03-27_12-25-43,30.08595,41.58615,287.778,10
2024-03-27_12-25-44,28.27113,40.9226,261.1215,11
2024-03-27_12-25-44,27.49647,39.98274,180.3479,11
2024-03-27_12-25-45,27.41358,39.73294,151.7385,11
2024-03-27_12-25-45,27.38337,39.65475,152.2194,11
2024-03-27_12-25-46,27.38568,39.61196,143.9315,11
2024-03-27_12-25-46,27.20228,38.99208,151.5173,11
2024-03-27_12-25-47,27.03534,38.31596,150.3675,10
2024-03-27_12-25-47,26.63869,36.77752,151.9612,12
2024-03-27_12-25-48,26.38415,35.53623,158.9745,12
2024-03-27_12-25-48,26.45104,34.54287,245.5052,12
2024-03-27_12-25-49,25.55829,33.55336,290.1819,13
2024-03-27_12-25-49,24.72005,33.18899,270.5366,13
2024-03-27_12-25-50,24.60332,33.03017,153.5263,13
2024-03-27_12-25-50,26.0251,31.71708,96.89787,14
2024-03-27_12-25-51,26.52047,31.47708,76.41936,14
2024-03-27_12-25-51,26.83183,31.45063,70.11302,14
2024-03-27_12-25-52,26.95116,31.42213,84.98797,14
2024-03-27_12-25-52,26.97182,31.42701,81.54822,14
2024-03-27_12-25-53,27.11,31.44301,81.61872,13
2024-03-27_12-25-53,27.11726,31.44672,83.58319,13
2024-03-27_12-25-54,27.12311,31.4502,83.33788,13
2024-03-27_12-25-54,27.12812,31.43896,85.47917,13
2024-03-27_12-25-55,27.14664,31.41552,82.42948,11
2024-03-27_12-25-55,27.16111,31.40108,79.76662,11
2024-03-27_12-25-56,27.17427,31.40964,76.24658,11
2024-03-27_12-25-56,27.18584,31.43085,77.12353,11
2024-03-27_12-25-57,27.1798,31.46202,74.75758,13
2024-03-27_12-25-58,27.1748,31.44029,75.20552,13
2024-03-27_12-25-58,27.18409,31.44452,73.86695,13
2024-03-27_12-25-59,27.25659,31.45643,70.69678,13
2024-03-27_12-25-59,27.25759,31.46068,71.79911,13
2024-03-27_12-26-00,27.26399,31.45866,70.77127,13
2024-03-27_12-26-00,27.27329,31.45276,69.38892,13
2024-03-27_12-26-01,27.28231,31.44688,66.61407,13
