2024-03-27_12-22-22_remote-1spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-23-37,-40.06833,-7.505297,106.2531,14
2024-03-27_12-23-37,-39.95573,-7.666698,111.6514,14
2024-03-27_12-23-38,-39.80409,-7.825242,106.3234,13
2024-03-27_12-23-38,-39.62495,-7.94648,109.9782,13
2024-03-27_12-23-39,-39.44067,-8.055041,109.1829,13
2024-03-27_12-23-39,-39.42615,-8.093734,106.7965,13
2024-03-27_12-23-40,-39.45431,-8.154873,109.3239,13
2024-03-27_12-23-40,-39.19909,-8.505344,111.9818,12
2024-03-27_12-23-41,-38.9868,-8.588899,109.4876,13
2024-03-27_12-23-42,-38.95326,-8.644031,108.139,13
2024-03-27_12-23-42,-38.80453,-8.822122,106.0564,13
2024-03-27_12-23-43,-38.64088,-8.97333,103.7678,13
2024-03-27_12-23-43,-38.51476,-9.105168,101.8584,13
2024-03-27_12-23-44,-38.40573,-9.138479,104.5291,11
2024-03-27_12-23-44,-38.14507,-9.239583,105.3216,11
2024-03-27_12-23-45,-38.06539,-9.307337,105.0636,13
2024-03-27_12-23-45,-37.82286,-9.558458,102.0968,13
2024-03-27_12-23-46,-37.56058,-9.790987,100.4281,12
2024-03-27_12-23-46,-37.33903,-9.9198,106.4702,12
2024-03-27_12-23-47,-37.25332,-9.938875,109.1356,13
2024-03-27_12-23-47,-37.22667,-9.989634,106.9785,10
2024-03-27_12-23-48,-37.24315,-9.972049,104.8313,10
2024-03-27_12-23-48,-37.23071,-9.99291,107.6937,9
2024-03-27_12-23-49,-37.15708,-10.05459,106.5264,10
2024-03-27_12-23-49,-37.13464,-10.07555,106.2003,10
2024-03-27_12-23-50,-37.07058,-10.08127,103.2703,10
2024-03-27_12-23-50,-37.08014,-10.13264,106.9096,11
2024-03-27_12-23-51,-36.5265,-10.69603,103.7608,10
2024-03-27_12-23-51,-36.51746,-11.00282,96.05545,10
2024-03-27_12-23-52,-36.50142,-11.15959,83.15138,10
2024-03-27_12-23-52,-36.48965,-11.32745,85.98945,10
2024-03-27_12-23-53,-36.4912,-11.39261,81.9415,10
2024-03-27_12-23-53,-36.51023,-11.38145,77.54488,11
2024-03-27_12-23-54,-36.45125,-11.38065,79.11526,11
2024-03-27_12-23-54,-36.4129,-11.30959,83.35311,13
2024-03-27_12-23-55,-36.4519,-11.35401,80.94644,13
2024-03-27_12-23-55,-36.46466,-11.42086,80.46911,13
2024-03-27_12-23-56,-36.46837,-11.48336,79.89388,17
2024-03-27_12-23-56,-36.49436,-11.51982,77.21757,17
2024-03-27_12-23-57,-36.42834,-11.51253,76.31358,15
2024-03-27_12-23-57,-36.40462,-11.4941,72.76917,14
2024-03-27_12-23-58,-36.41467,-11.54363,77.6965,14
2024-03-27_12-23-58,-36.4405,-11.6345,80.87574,14
2024-03-27_12-23-59,-36.66694,-11.53122,83.7431,15
2024-03-27_12-23-59,-36.58114,-11.50032,85.64069,14
2024-03-27_12-24-00,-36.5651,-11.63203,82.15633,14
2024-03-27_12-24-00,-36.52909,-11.7271,80.92189,17
2024-03-27_12-24-01,-36.37146,-11.88577,79.66845,17
2024-03-27_12-24-01,-36.29383,-11.95904,77.38245,17
2024-03-27_12-24-02,-36.28114,-11.9699,74.37041,14
2024-03-27_12-24-02,-36.11673,-12.10643,73.82039,9
2024-03-27_12-24-03,-35.6725,-12.20787,68.3868,9
2024-03-27_12-24-03,-35.64443,-12.20459,66.71623,12
2024-03-27_12-24-04,-35.61139,-12.20007,65.32024,12
2024-03-27_12-24-04,-35.38437,-12.15518,64.42149,12
2024-03-27_12-24-05,-35.20823,-12.11661,64.44492,10
2024-03-27_12-24-05,-35.02357,-12.11859,63.61413,9
2024-03-27_12-24-06,-34.63214,-12.12034,60.78289,10
2024-03-27_12-24-06,-34.34326,-12.01325,40.24803,12
2024-03-27_12-24-07,-34.36498,-11.94971,25.67372,10
2024-03-27_12-24-07,-34.32168,-11.92506,29.08147,10
2024-03-27_12-24-08,-34.25907,-11.88258,34.75424,12
2024-03-27_12-24-08,-34.18959,-11.73271,27.67141,12
2024-03-27_12-24-09,-34.15613,-11.68296,21.08683,12
2024-03-27_12-24-09,-34.16106,-11.65109,20.99318,10
2024-03-27_12-24-10,-34.1384,-11.50606,23.7241,10
2024-03-27_12-24-10,-34.06857,-11.15224,24.28049,10
2024-03-27_12-24-11,-34.00581,-11.00399,21.42719,11
2024-03-27_12-24-11,-33.91705,-10.82539,18.80444,12
2024-03-27_12-24-12,-33.84879,-10.62748,17.81062,11
2024-03-27_12-24-12,-33.82807,-10.35111,15.86758,12
2024-03-27_12-24-13,-33.79879,-9.932137,19.02174,12
2024-03-27_12-24-13,-33.76698,-9.82491,21.30592,11
2024-03-27_12-24-14,-33.66236,-9.612881,23.23372,11
2024-03-27_12-24-14,-33.47216,-9.142313,19.4932,12
2024-03-27_12-24-15,-33.4335,-9.051002,17.77647,12
2024-03-27_12-24-15,-33.41226,-8.895095,19.88811,12
2024-03-27_12-24-16,-33.36805,-8.513941,21.88726,12
2024-03-27_12-24-16,-33.34352,-8.440426,21.38189,12
2024-03-27_12-24-17,-33.27372,-8.29287,21.50642,12
2024-03-27_12-24-17,-33.06551,-7.701428,19.58142,12
2024-03-27_12-24-18,-33.02945,-7.548128,20.65663,12
2024-03-27_12-24-18,-33.04208,-7.413023,19.69249,12
2024-03-27_12-24-19,-33.01273,-7.137717,22.70134,12
2024-03-27_12-24-19,-33.00374,-7.058248,23.60027,12
2024-03-27_12-24-20,-32.94962,-6.928864,20.68928,10
2024-03-27_12-24-20,-32.72357,-6.439877,24.42835,10
2024-03-27_12-24-21,-32.66018,-6.331872,41.29122,12
2024-03-27_12-24-21,-32.67441,-6.239168,35.39633,12
2024-03-27_12-24-22,-32.67385,-6.180411,26.7671,12
2024-03-27_12-24-22,-32.59108,-5.9969,24.36564,12
2024-03-27_12-24-23,-32.34029,-5.492924,26.82531,13
2024-03-27_12-24-23,-32.16252,-5.191124,45.75108,13
2024-03-27_12-24-24,-32.18674,-5.076514,49.02454,12
2024-03-27_12-24-24,-32.1314,-4.916727,30.99041,12
2024-03-27_12-24-25,-32.07369,-4.806754,9.746988,12
2024-03-27_12-24-25,-32.01324,-4.409172,7.660156,10
2024-03-27_12-24-26,-32.0106,-4.197936,5.391653,11
2024-03-27_12-24-26,-32.08631,-3.824548,6.096289,9
2024-03-27_12-24-27,-32.14615,-3.69268,8.18619,9
2024-03-27_12-24-27,-32.16625,-3.582902,7.986117,10
2024-03-27_12-24-28,-32.14451,-3.321946,7.124003,9
2024-03-27_12-24-28,-32.10012,-3.313219,7.016849,9
2024-03-27_12-24-29,-32.08519,-3.186642,5.851268,10
2024-03-27_12-24-29,-32.11453,-3.04212,6.305385,10
2024-03-27_12-24-30,-32.19974,-2.679053,6.688167,9
2024-03-27_12-24-30,-32.22396,-2.309075,5.677998,9
2024-03-27_12-24-31,-32.20151,-2.199563,7.059817,7
2024-03-27_12-24-31,-32.17204,-2.029005,6.273248,7
2024-03-27_12-24-32,-32.18673,-1.945586,6.54033,8
2024-03-27_12-24-32,-32.24666,-1.78606,7.344722,7
2024-03-27_12-24-33,-32.27021,-1.578059,8.199527,8
2024-03-27_12-24-33,-32.24022,-1.507492,1.141701,9
2024-03-27_12-24-34,-32.28988,-1.127788,1.136187,12
2024-03-27_12-24-34,-32.35182,-0.9958373,5.952973,12
2024-03-27_12-24-35,-32.40549,-0.8743876,5.433395,12
2024-03-27_12-24-35,-32.41048,-0.8313779,5.282939,12
2024-03-27_12-24-36,-32.36937,-0.7181599,4.178298,12
