2024-03-27_13-19-15_remote-1spatial maze.txt,id1=29,id2=28,00:50:32
2024-03-27_13-20-51,-48.56023,-1.669543,2.953923,9
2024-03-27_13-20-52,-48.58145,-1.724406,90.12059,9
2024-03-27_13-20-52,-48.42182,-1.764037,91.83775,9
2024-03-27_13-20-53,-48.24432,-1.857591,93.22635,9
2024-03-27_13-20-53,-47.9135,-2.029219,92.59539,9
2024-03-27_13-20-54,-47.58064,-2.187963,96.1245,9
2024-03-27_13-20-54,-47.12747,-2.480829,96.26589,9
2024-03-27_13-20-55,-46.76733,-2.651151,96.46744,11
2024-03-27_13-20-55,-46.29268,-2.918962,89.86802,10
2024-03-27_13-20-56,-45.66499,-3.16062,91.57932,10
2024-03-27_13-20-56,-45.34475,-3.237555,95.76568,9
2024-03-27_13-20-57,-44.91573,-3.264524,94.90514,10
2024-03-27_13-20-57,-44.61153,-3.339196,99.31826,11
2024-03-27_13-20-58,-44.31909,-3.550265,99.20313,11
2024-03-27_13-20-58,-43.83694,-3.838321,99.67088,11
2024-03-27_13-20-59,-43.50938,-4.109179,99.62374,10
2024-03-27_13-20-59,-43.0549,-4.399237,98.51791,12
2024-03-27_13-21-00,-42.57987,-4.73138,100.5414,12
2024-03-27_13-21-00,-42.13893,-5.074921,102.5769,12
2024-03-27_13-21-01,-41.65411,-5.541179,106.5203,14
2024-03-27_13-21-01,-41.2595,-6.001076,100.8238,12
2024-03-27_13-21-02,-40.60715,-6.45418,99.13522,12
2024-03-27_13-21-02,-40.13237,-6.921042,108.8388,12
2024-03-27_13-21-03,-39.74822,-7.385487,116.4551,12
2024-03-27_13-21-03,-39.42093,-7.868227,122.0235,11
2024-03-27_13-21-04,-39.11339,-8.348971,111.3018,12
2024-03-27_13-21-05,-38.71214,-8.792237,107.027,13
2024-03-27_13-21-05,-38.29137,-9.185347,99.7852,11
2024-03-27_13-21-06,-37.72617,-9.537017,99.70117,11
2024-03-27_13-21-06,-37.4024,-9.785905,102.7257,10
2024-03-27_13-21-07,-36.80023,-10.21047,99.77797,11
2024-03-27_13-21-07,-36.4983,-10.70277,96.00856,11
2024-03-27_13-21-08,-35.97919,-10.91522,76.10201,10
2024-03-27_13-21-08,-35.47004,-10.94289,70.5141,9
2024-03-27_13-21-09,-34.98022,-10.89738,62.1184,8
2024-03-27_13-21-09,-34.70152,-10.80462,59.4417,11
2024-03-27_13-21-10,-34.36768,-10.64861,51.38919,10
2024-03-27_13-21-10,-33.93459,-10.25293,36.06012,10
2024-03-27_13-21-11,-33.73358,-9.953552,24.94869,10
2024-03-27_13-21-11,-33.52684,-9.6507,29.79898,10
2024-03-27_13-21-12,-33.29545,-9.351011,54.97147,10
2024-03-27_13-21-12,-32.89502,-9.266467,66.25623,10
2024-03-27_13-21-13,-32.22544,-9.131854,67.58041,9
2024-03-27_13-21-13,-31.80788,-9.079046,73.78809,10
2024-03-27_13-21-14,-31.75427,-9.118293,74.43422,8
2024-03-27_13-21-14,-31.77523,-9.018842,51.55735,8
2024-03-27_13-21-15,-31.78286,-8.960377,44.27971,8
2024-03-27_13-21-15,-31.73293,-8.730709,45.63686,8
2024-03-27_13-21-16,-31.5952,-8.491268,61.76809,8
2024-03-27_13-21-16,-31.36143,-8.324144,71.11485,5
2024-03-27_13-21-17,-30.71681,-8.200322,81.22849,5
2024-03-27_13-21-17,-30.27376,-8.249463,94.15366,7
2024-03-27_13-21-18,-29.90073,-8.268229,92.50794,7
2024-03-27_13-21-18,-29.35148,-8.440417,96.01164,6
2024-03-27_13-21-19,-28.90334,-8.736369,98.71926,6
2024-03-27_13-21-19,-28.14187,-9.230799,100.9172,7
2024-03-27_13-21-20,-27.46127,-9.794656,102.3046,6
2024-03-27_13-21-20,-26.75011,-10.33612,97.56752,6
2024-03-27_13-21-21,-26.35492,-10.79276,93.4389,7
2024-03-27_13-21-21,-25.64799,-11.13646,83.96851,5
2024-03-27_13-21-22,-25.03779,-11.26661,79.77559,4
2024-03-27_13-21-22,-24.3305,-11.39192,76.72581,4
2024-03-27_13-21-23,-23.65678,-11.40424,76.45425,4
2024-03-27_13-21-23,-22.76985,-11.4855,77.27769,4
2024-03-27_13-21-24,-22.06155,-11.51287,76.40532,4
2024-03-27_13-21-24,-21.28682,-11.57575,77.0328,4
2024-03-27_13-21-25,-20.70744,-11.64627,63.49345,4
2024-03-27_13-21-25,-19.88149,-11.62949,75.14093,4
2024-03-27_13-21-26,-19.0159,-11.68518,73.27867,4
2024-03-27_13-21-26,-18.20192,-11.64611,71.73341,5
2024-03-27_13-21-27,-17.20836,-11.61957,68.79842,2
2024-03-27_13-21-27,-16.22952,-11.46502,67.01311,1
2024-03-27_13-21-28,-15.41062,-11.32456,62.01581,1
2024-03-27_13-21-28,-14.87485,-11.08808,49.63836,1
2024-03-27_13-21-29,-14.59659,-10.91062,45.86674,1
2024-03-27_13-21-29,-14.05588,-10.423,37.3512,1
2024-03-27_13-21-30,-13.75849,-10.02163,32.55778,1
2024-03-27_13-21-30,-13.56231,-9.562379,13.06298,1
2024-03-27_13-21-31,-13.48024,-9.400066,18.66458,1
2024-03-27_13-21-32,-13.35583,-9.06023,21.93101,1
2024-03-27_13-21-32,-13.1799,-8.538829,22.71674,1
2024-03-27_13-21-33,-12.98107,-7.91552,17.17661,1
2024-03-27_13-21-33,-12.85675,-7.246848,9.750199,1
2024-03-27_13-21-34,-12.82148,-6.764856,1.21598,2
2024-03-27_13-21-34,-12.89273,-6.316544,0.3310998,1
2024-03-27_13-21-35,-12.9606,-5.971691,352.4972,1
2024-03-27_13-21-35,-13.15829,-5.627209,346.5668,1
2024-03-27_13-21-36,-13.50817,-5.060472,340.1031,1
2024-03-27_13-21-36,-13.98833,-4.514065,333.1987,1
2024-03-27_13-21-37,-14.35076,-3.994584,327.695,2
2024-03-27_13-21-37,-14.40516,-3.708314,319.5211,1
2024-03-27_13-21-38,-14.47692,-3.646,293.8115,1
2024-03-27_13-21-38,-14.52294,-3.57283,294.7477,1
2024-03-27_13-21-39,-14.54137,-3.575024,290.5335,0
2024-03-27_13-21-39,-14.5691,-3.571172,281.2201,1
2024-03-27_13-21-40,-14.61274,-3.544111,279.1269,1
2024-03-27_13-21-40,-14.77423,-3.413855,275.8064,0
2024-03-27_13-21-41,-14.95883,-3.211425,306.8132,0
2024-03-27_13-21-41,-14.94521,-3.186441,334.6273,0
2024-03-27_13-21-42,-14.8712,-3.143287,3.799075,0
2024-03-27_13-21-42,-14.75638,-3.175299,44.64556,0
2024-03-27_13-21-43,-14.75475,-3.266507,92.77161,0
2024-03-27_13-21-43,-14.76163,-3.288764,102.5127,0
2024-03-27_13-21-44,-14.77462,-3.297958,100.2474,0
2024-03-27_13-21-44,-14.77714,-3.302189,97.93243,0
2024-03-27_13-21-46,-14.7809,-3.294734,98.51488,0
