2024-03-27_13-05-54_player-2haptics maze.txt,id1=29,id2=28,01:28:50
2024-03-27_13-06-26,47.09489,-1.740448,304.3083,21
2024-03-27_13-06-27,47.08418,-1.66849,313.7942,21
2024-03-27_13-06-28,47.0753,-1.650759,314.5489,22
2024-03-27_13-06-29,45.60537,-1.701078,312.9279,14
2024-03-27_13-06-30,42.98082,-1.795127,312.8561,16
2024-03-27_13-06-31,40.50487,-1.472135,327.2101,13
2024-03-27_13-06-32,37.89431,-1.600988,311.5273,14
2024-03-27_13-06-33,36.85969,-1.991458,306.9214,13
2024-03-27_13-06-34,35.1595,-2.360636,314.3116,13
2024-03-27_13-06-35,33.66286,-1.309688,331.5232,11
2024-03-27_13-06-36,33.02562,1.096278,333.4399,12
2024-03-27_13-06-37,32.78869,2.902111,334.9795,10
2024-03-27_13-06-38,32.90094,4.075253,341.06,10
2024-03-27_13-06-39,33.74519,5.843135,350.8824,8
2024-03-27_13-06-40,34.84137,6.480474,359.0344,7
2024-03-27_13-06-41,35.60032,6.397817,12.7674,7
2024-03-27_13-06-42,37.32899,5.229744,12.61313,9
2024-03-27_13-06-43,38.70058,4.373562,3.936027,9
2024-03-27_13-06-44,39.82094,3.716505,359.1305,11
2024-03-27_13-06-45,41.0704,3.997913,345.9194,11
2024-03-27_13-06-46,41.99926,5.129462,346.5139,11
2024-03-27_13-06-47,42.90002,6.124467,349.3928,10
2024-03-27_13-06-48,43.02903,6.219273,352.5458,9
2024-03-27_13-06-49,44.57188,7.148226,347.9621,8
2024-03-27_13-06-50,45.98074,8.908822,342.3627,7
2024-03-27_13-06-51,46.30782,9.599009,334.0089,8
2024-03-27_13-06-52,46.19164,10.36425,332.358,10
2024-03-27_13-06-53,45.97389,11.88331,331.022,10
2024-03-27_13-06-54,45.87494,11.90447,317.7715,11
2024-03-27_13-06-55,44.45259,12.1092,315.0356,9
2024-03-27_13-06-56,42.36578,12.34195,321.6127,9
2024-03-27_13-06-57,40.27929,12.63814,316.6856,10
2024-03-27_13-06-58,38.49962,12.96021,316.9289,10
2024-03-27_13-06-59,36.29359,13.44763,316.9619,12
2024-03-27_13-07-00,34.65566,13.74337,319.8649,10
2024-03-27_13-07-01,34.14013,13.85196,330.1588,10
2024-03-27_13-07-02,32.48157,14.94046,319.7139,9
2024-03-27_13-07-03,31.08506,15.75053,314.3116,11
2024-03-27_13-07-05,30.65229,16.23373,309.9305,9
2024-03-27_13-07-06,28.6506,16.09357,306.9019,7
2024-03-27_13-07-07,27.14716,15.05757,306.7854,8
2024-03-27_13-07-08,25.70434,13.80888,310.8897,8
2024-03-27_13-07-09,24.17551,13.82078,324.4971,6
2024-03-27_13-07-10,22.72777,15.09285,323.1168,5
2024-03-27_13-07-11,20.7465,16.25686,318.2924,7
2024-03-27_13-07-12,19.45819,17.81195,326.0941,7
2024-03-27_13-07-13,17.71494,19.69818,321.6494,8
2024-03-27_13-07-14,16.11098,20.7363,316.4477,9
2024-03-27_13-07-15,15.36442,21.37731,315.2966,6
2024-03-27_13-07-16,12.81505,21.49619,311.5518,6
2024-03-27_13-07-17,10.72916,21.32833,306.5799,4
2024-03-27_13-07-18,10.1817,21.30798,305.589,4
2024-03-27_13-07-19,8.659384,21.1596,305.1401,3
2024-03-27_13-07-20,8.240577,20.79685,297.9394,5
2024-03-27_13-07-21,6.163081,19.32127,302.9797,4
2024-03-27_13-07-22,4.632701,18.41935,307.5775,4
2024-03-27_13-07-23,2.578482,17.78372,304.711,4
2024-03-27_13-07-24,0.5734268,17.02059,313.0332,3
2024-03-27_13-07-25,-0.1375784,16.69455,306.0044,3
2024-03-27_13-07-26,-0.23065,16.49436,298.6353,2
2024-03-27_13-07-27,-0.2465205,16.47497,302.978,4
2024-03-27_13-07-28,-0.2469751,16.47682,302.2484,5
2024-03-27_13-07-29,-0.5406406,16.27309,304.5139,5
2024-03-27_13-07-30,-1.92236,15.20944,298.4146,2
2024-03-27_13-07-31,-2.920781,15.16806,319.1222,3
2024-03-27_13-07-32,-3.574653,16.15805,333.1834,3
2024-03-27_13-07-33,-3.535037,18.0601,342.4124,4
2024-03-27_13-07-34,-2.639708,18.33917,357.9843,3
2024-03-27_13-07-35,-2.700253,18.87768,326.7599,3
2024-03-27_13-07-36,-3.42956,18.72893,311.054,3
2024-03-27_13-07-37,-3.799149,17.84978,291.9866,3
2024-03-27_13-07-38,-3.45479,16.95146,281.9992,2
2024-03-27_13-07-39,-2.762219,15.25614,327.1548,1
2024-03-27_13-07-40,-1.799967,14.15915,17.31456,3
2024-03-27_13-07-41,-0.8776627,13.41602,18.07846,3
2024-03-27_13-07-42,-0.5871136,13.27244,15.35281,3
2024-03-27_13-07-43,1.346668,12.29164,17.70971,2
2024-03-27_13-07-44,3.286851,11.31371,15.86138,2
2024-03-27_13-07-45,5.108096,11.23858,20.29469,1
2024-03-27_13-07-46,6.151296,10.82168,279.3317,0
2024-03-27_13-07-48,6.591735,9.109688,278.0641,1
2024-03-27_13-07-49,7.024384,6.463584,278.607,1
2024-03-27_13-07-50,7.356532,4.179288,273.6502,1
2024-03-27_13-07-51,7.948447,2.251212,272.4491,1
2024-03-27_13-07-52,8.693439,0.360768,270.2941,1
2024-03-27_13-07-53,9.032628,-1.095934,8.938867,1
2024-03-27_13-07-54,9.511858,-1.321034,7.345298,0
2024-03-27_13-07-55,9.504346,-1.343061,14.77191,0
2024-03-27_13-07-56,9.48255,-1.315216,12.64159,0
2024-03-27_13-07-57,9.474622,-1.340971,12.88353,0
2024-03-27_13-07-58,9.476974,-1.327985,12.3407,0
2024-03-27_13-07-59,9.475573,-1.316907,12.76889,0
