2024-03-27_14-49-24_remote-1haptics maze.txt,id1=15,id2=4,03:17:27
2024-03-27_14-49-49,-46.50783,48.17916,351.5674,5
2024-03-27_14-49-50,-46.3927,47.97869,9.754081,5
2024-03-27_14-49-51,-46.28331,46.59613,285.3613,5
2024-03-27_14-49-52,-46.27194,45.36113,285.5715,5
2024-03-27_14-49-53,-46.33194,43.79031,284.3765,9
2024-03-27_14-49-54,-46.3267,40.06784,285.6429,11
2024-03-27_14-49-55,-46.31186,38.06068,285.0255,13
2024-03-27_14-49-56,-46.31939,34.99442,285.686,12
2024-03-27_14-49-57,-46.32926,32.82861,286.6454,12
2024-03-27_14-49-58,-46.29055,30.86221,285.4964,13
2024-03-27_14-50-00,-46.40014,29.18642,285.2324,11
2024-03-27_14-50-01,-46.33374,27.66351,282.2285,10
2024-03-27_14-50-02,-46.31994,25.6124,280.4561,8
2024-03-27_14-50-03,-44.33081,21.78301,354.4633,9
2024-03-27_14-50-04,-42.80312,21.81746,352.6859,9
2024-03-27_14-50-05,-41.60746,21.73817,355.3581,11
2024-03-27_14-50-06,-39.22878,21.57385,355.5846,11
2024-03-27_14-50-07,-37.01507,20.2086,287.5613,8
2024-03-27_14-50-08,-36.41187,18.85539,276.7271,8
2024-03-27_14-50-09,-36.20449,18.70915,358.9413,9
2024-03-27_14-50-10,-34.3465,17.57639,10.17268,10
2024-03-27_14-50-11,-33.41288,16.6363,275.6636,9
2024-03-27_14-50-12,-33.41628,16.60907,282.9063,9
2024-03-27_14-50-13,-33.35983,16.64141,352.5418,12
2024-03-27_14-50-14,-32.97356,16.83468,342.4413,10
2024-03-27_14-50-15,-33.15895,17.70138,318.6719,10
2024-03-27_14-50-16,-34.45232,18.43538,309.8037,13
2024-03-27_14-50-17,-37.87093,19.35109,318.3052,13
2024-03-27_14-50-18,-37.97411,19.79591,333.131,14
2024-03-27_14-50-19,-38.72928,21.41058,320.7446,12
2024-03-27_14-50-20,-39.4713,22.17244,318.6731,13
2024-03-27_14-50-21,-40.28477,22.47733,312.3277,12
2024-03-27_14-50-22,-41.30108,23.59049,335.0027,11
2024-03-27_14-50-23,-41.28571,24.78014,338.4857,11
2024-03-27_14-50-24,-41.20335,25.54508,351.3717,11
2024-03-27_14-50-25,-41.2432,25.43833,312.386,11
2024-03-27_14-50-26,-41.66293,24.25043,288.6998,11
2024-03-27_14-50-27,-41.38094,23.59955,359.7967,12
2024-03-27_14-50-28,-39.58929,22.32253,7.906036,12
2024-03-27_14-50-29,-38.43949,21.2208,10.13073,12
2024-03-27_14-50-30,-34.60107,17.58435,10.50953,11
2024-03-27_14-50-31,-33.49286,16.28453,292.6297,9
2024-03-27_14-50-32,-33.75167,15.5323,292.3472,10
2024-03-27_14-50-33,-33.84575,13.66174,298.2502,11
2024-03-27_14-50-35,-35.3053,13.2326,309.8712,9
2024-03-27_14-50-36,-36.61179,13.026,305.6477,8
2024-03-27_14-50-37,-38.89841,12.61188,307.178,8
2024-03-27_14-50-38,-40.86935,12.45548,307.8902,8
2024-03-27_14-50-39,-42.35841,12.16784,301.0159,8
2024-03-27_14-50-40,-42.48426,11.86514,281.8867,8
2024-03-27_14-50-41,-41.93757,9.525811,279.5715,9
2024-03-27_14-50-42,-40.83736,7.896704,358.1017,10
2024-03-27_14-50-43,-40.34644,7.714446,357.5232,9
2024-03-27_14-50-44,-39.84662,7.635504,4.298108,8
2024-03-27_14-50-45,-38.80438,7.593055,0.5937977,8
2024-03-27_14-50-46,-38.03478,7.55373,357.9608,8
2024-03-27_14-50-47,-33.70404,6.482044,335.6302,7
2024-03-27_14-50-48,-33.32113,5.301218,281.0706,7
2024-03-27_14-50-49,-33.22465,4.612427,280.0305,6
2024-03-27_14-50-50,-32.76566,5.369489,329.6862,7
2024-03-27_14-50-51,-34.14412,7.266049,308.4271,9
2024-03-27_14-50-52,-35.56329,7.417446,310.382,10
2024-03-27_14-50-53,-37.27891,7.727059,310.7304,10
2024-03-27_14-50-54,-38.57323,8.093663,312.7354,10
2024-03-27_14-50-55,-40.53617,8.846099,314.1535,10
2024-03-27_14-50-56,-41.58499,9.415262,331.8792,10
2024-03-27_14-50-57,-41.45289,9.873998,344.5492,10
2024-03-27_14-50-58,-41.31293,10.29811,334.566,10
2024-03-27_14-50-59,-40.49459,13.88159,335.4669,8
2024-03-27_14-51-00,-40.04947,13.83319,338.2601,9
2024-03-27_14-51-01,-39.81441,13.74992,356.1907,9
2024-03-27_14-51-02,-37.51885,13.44646,353.9941,9
2024-03-27_14-51-03,-35.72372,13.45021,353.1613,11
2024-03-27_14-51-04,-31.64483,13.94997,347.9056,10
2024-03-27_14-51-05,-31.45103,14.10074,326.7831,11
2024-03-27_14-51-06,-31.72419,15.86564,327.8354,11
2024-03-27_14-51-07,-32.59822,18.41052,312.2072,9
2024-03-27_14-51-08,-32.75789,18.55925,308.4046,9
2024-03-27_14-51-09,-35.42207,18.85169,313.1629,7
2024-03-27_14-51-10,-36.69432,19.12718,313.5519,7
2024-03-27_14-51-11,-38.02765,19.89326,326.5714,7
2024-03-27_14-51-12,-38.06022,19.92024,324.2669,8
2024-03-27_14-51-13,-39.42749,22.02895,320.5416,10
2024-03-27_14-51-15,-41.13724,24.00381,325.0212,9
2024-03-27_14-51-16,-41.34059,25.40312,333.8666,9
2024-03-27_14-51-17,-40.21396,28.23599,357.4553,9
2024-03-27_14-51-18,-38.94937,27.59943,318.4724,8
2024-03-27_14-51-19,-38.94537,26.32039,287.2561,8
2024-03-27_14-51-20,-39.09895,26.38668,304.853,7
2024-03-27_14-51-21,-40.2024,26.33448,302.1858,7
2024-03-27_14-51-22,-39.99724,26.37963,343.0309,7
2024-03-27_14-51-23,-38.45755,26.72593,350.0363,7
