2024-03-26_14-42-15_player-2haptics maze.txt,id1=27,id2=26,01:31:46
2024-03-26_14-42-31,44.93735,-1.00237,351.7923,14
2024-03-26_14-42-32,44.93384,-1.025134,353.3654,14
2024-03-26_14-42-33,44.93478,-1.003918,353.5542,14
2024-03-26_14-42-34,44.93674,-1.009393,355.2161,14
2024-03-26_14-42-35,44.94104,-1.003558,353.7324,14
2024-03-26_14-42-36,44.89754,-0.9685874,359.2072,14
2024-03-26_14-42-37,44.85568,-0.9922027,358.3207,14
2024-03-26_14-42-38,44.91058,-1.052497,358.3869,15
2024-03-26_14-42-39,44.89463,-1.057203,357.3442,15
2024-03-26_14-42-40,44.89186,-1.126964,357.9146,15
2024-03-26_14-42-41,44.87944,-1.115773,357.1486,15
2024-03-26_14-42-42,44.87662,-1.126332,356.2271,15
2024-03-26_14-42-43,44.86899,-1.117661,358.11,16
2024-03-26_14-42-44,44.77164,-1.077888,357.5938,16
2024-03-26_14-42-45,43.48319,-1.044432,358.6513,13
2024-03-26_14-42-46,40.72335,-1.304066,357.7897,11
2024-03-26_14-42-48,39.95745,-1.33699,357.3169,10
2024-03-26_14-42-49,37.08993,-1.226748,0.4439699,10
2024-03-26_14-42-50,34.4917,-0.6487547,3.51751,10
2024-03-26_14-42-51,33.15921,1.229909,23.33775,10
2024-03-26_14-42-52,33.80048,3.670243,28.07349,13
2024-03-26_14-42-53,34.06955,6.095001,39.64019,15
2024-03-26_14-42-54,34.10934,5.565523,52.82955,16
2024-03-26_14-42-55,34.05737,4.923579,38.61184,13
2024-03-26_14-42-56,34.02337,6.556826,34.75377,14
2024-03-26_14-42-57,36.13113,7.118823,61.07162,13
2024-03-26_14-42-58,37.61417,4.545176,58.16445,11
2024-03-26_14-42-59,40.44918,4.214705,34.96359,10
2024-03-26_14-43-00,41.70335,5.7055,28.04444,11
2024-03-26_14-43-01,41.72224,5.756677,28.79185,11
2024-03-26_14-43-02,41.78958,5.779334,36.33285,11
2024-03-26_14-43-03,44.12845,6.973884,36.17449,15
2024-03-26_14-43-04,45.60596,9.242396,34.63303,14
