2024-03-26_14-42-15_remote-1haptics maze.txt,id1=27,id2=26,01:31:46
2024-03-26_14-42-31,-48.04652,-47.27649,33.60507,14
2024-03-26_14-42-32,-48.04536,-47.27962,33.71983,14
2024-03-26_14-42-33,-48.04356,-47.27714,33.65895,14
2024-03-26_14-42-34,-48.0415,-47.27602,33.98917,14
2024-03-26_14-42-35,-48.04251,-47.2753,33.76287,14
2024-03-26_14-42-36,-48.04366,-47.27766,33.74824,14
2024-03-26_14-42-37,-48.04598,-47.27645,33.73665,14
2024-03-26_14-42-38,-48.06311,-47.26129,32.31397,15
2024-03-26_14-42-39,-48.03728,-47.23663,32.26141,15
2024-03-26_14-42-40,-48.06207,-47.25239,30.21007,15
2024-03-26_14-42-41,-48.06936,-47.25146,29.84538,15
2024-03-26_14-42-42,-48.07695,-47.24805,29.29837,15
2024-03-26_14-42-43,-48.10699,-47.19944,28.18345,16
2024-03-26_14-42-44,-48.09707,-47.16904,27.20034,16
2024-03-26_14-42-45,-47.60427,-42.45599,27.5903,13
2024-03-26_14-42-46,-47.54569,-33.45855,29.84182,11
2024-03-26_14-42-48,-46.6563,-23.95756,41.27601,10
2024-03-26_14-42-49,-42.07359,-22.66568,65.29061,10
2024-03-26_14-42-50,-43.17349,-23.84901,355.67,10
2024-03-26_14-42-51,-48.71217,-24.68625,356.8767,10
2024-03-26_14-42-52,-48.49862,-26.40366,70.3167,13
2024-03-26_14-42-53,-47.38599,-30.80363,71.41524,15
2024-03-26_14-42-54,-46.70528,-36.06489,59.18988,16
2024-03-26_14-42-55,-44.34728,-37.31241,49.18399,13
2024-03-26_14-42-56,-38.00005,-37.0363,42.45502,14
2024-03-26_14-42-57,-34.47882,-36.5882,28.31093,13
2024-03-26_14-42-58,-33.68332,-33.20897,23.94629,11
2024-03-26_14-42-59,-36.02938,-27.48143,0.6632873,10
2024-03-26_14-43-00,-36.35556,-27.06189,49.57743,11
2024-03-26_14-43-01,-34.52514,-29.05076,66.18221,11
2024-03-26_14-43-02,-33.37404,-34.54046,79.5187,11
2024-03-26_14-43-03,-35.78347,-37.53928,351.9403,15
2024-03-26_14-43-04,-41.75203,-39.46991,4.435801,14
2024-03-26_14-43-05,-41.24527,-42.57113,58.15373,13
2024-03-26_14-43-06,-36.70601,-45.96933,53.40185,14
2024-03-26_14-43-07,-35.15311,-46.67554,38.26896,12
2024-03-26_14-43-08,-29.87394,-42.85091,46.18885,12
2024-03-26_14-43-09,-23.52922,-44.56243,54.97954,13
2024-03-26_14-43-10,-18.77984,-46.94881,43.07069,14
2024-03-26_14-43-11,-11.9481,-45.27013,28.20165,13
2024-03-26_14-43-12,-7.372091,-43.06274,45.85745,15
2024-03-26_14-43-13,-1.680526,-44.61116,64.01289,12
2024-03-26_14-43-14,-0.3724299,-47.63466,45.55455,10
2024-03-26_14-43-15,4.657917,-46.71356,40.92295,9
2024-03-26_14-43-16,8.330794,-44.21841,50.97379,10
2024-03-26_14-43-17,8.300834,-45.91018,71.82549,11
2024-03-26_14-43-18,9.655262,-46.93804,45.59549,12
2024-03-26_14-43-19,13.04965,-42.39502,20.84256,9
2024-03-26_14-43-20,11.65647,-39.81497,11.10634,9
2024-03-26_14-43-21,8.736392,-36.53449,24.50016,8
2024-03-26_14-43-22,8.194333,-35.77118,31.61069,8
2024-03-26_14-43-23,11.88882,-32.29897,39.92607,9
2024-03-26_14-43-24,16.91039,-31.70651,43.137,8
2024-03-26_14-43-25,23.0838,-30.28291,15.98011,9
2024-03-26_14-43-26,19.89996,-26.89884,16.68687,9
2024-03-26_14-43-27,18.03803,-25.62176,19.78492,6
2024-03-26_14-43-28,17.12555,-18.83473,29.72243,6
2024-03-26_14-43-29,18.68422,-13.32007,45.37179,8
2024-03-26_14-43-30,21.92121,-13.7765,66.77348,5
2024-03-26_14-43-32,26.1272,-16.33171,31.78316,5
2024-03-26_14-43-33,26.34669,-11.66057,19.38494,5
2024-03-26_14-43-34,23.52187,-7.640689,355.932,4
2024-03-26_14-43-35,19.89815,-7.927432,351.1477,7
2024-03-26_14-43-36,14.0542,-9.269892,349.6519,6
2024-03-26_14-43-37,11.78713,-12.93227,78.96009,5
2024-03-26_14-43-38,11.57924,-19.50283,74.34206,5
2024-03-26_14-43-39,10.77859,-23.70579,71.44302,6
2024-03-26_14-43-40,9.530971,-27.86549,3.934729,7
2024-03-26_14-43-41,5.135139,-27.84878,0.2197265,7
2024-03-26_14-43-42,-2.535414,-26.34552,8.715956,8
2024-03-26_14-43-43,-4.361254,-24.84549,17.51303,7
2024-03-26_14-43-44,-4.751786,-23.41994,12.43263,6
