2024-03-27_14-03-30_remote-1haptics maze.txt,id1=19,id2=11,00:53:23
2024-03-27_14-03-35,-46.9036,-46.88028,329.9686,7
2024-03-27_14-03-36,-46.90504,-46.8812,329.54,7
2024-03-27_14-03-37,-46.90431,-46.88272,329.2673,7
2024-03-27_14-03-38,-46.90706,-46.88557,329.5511,7
2024-03-27_14-03-39,-46.87714,-46.87041,332.5385,7
2024-03-27_14-03-40,-46.89543,-46.87324,333.2226,7
2024-03-27_14-03-41,-46.89895,-46.87464,332.9204,7
2024-03-27_14-03-42,-46.90209,-46.87143,333.8239,7
2024-03-27_14-03-43,-46.85096,-46.86938,338.7895,7
2024-03-27_14-03-44,-46.75253,-46.90832,348.6153,7
2024-03-27_14-03-45,-45.01478,-46.64473,350.4575,12
2024-03-27_14-03-46,-45.11286,-46.34359,331.6421,14
2024-03-27_14-03-47,-45.40089,-46.01049,329.392,14
2024-03-27_14-03-48,-45.6155,-45.99136,330.3167,14
2024-03-27_14-03-49,-46.19601,-45.80302,328.6198,14
2024-03-27_14-03-50,-46.58875,-43.16963,334.6169,9
2024-03-27_14-03-51,-46.4194,-41.53375,336.6448,9
2024-03-27_14-03-52,-46.27944,-40.39157,338.1101,9
2024-03-27_14-03-53,-46.25872,-39.55689,338.563,11
2024-03-27_14-03-54,-46.15551,-38.96472,351.0665,11
2024-03-27_14-03-55,-45.7182,-38.58456,356.8209,10
2024-03-27_14-03-56,-45.00867,-38.54134,5.620228,9
2024-03-27_14-03-57,-44.88668,-38.38386,348.4809,9
2024-03-27_14-03-58,-44.13209,-37.85693,348.1327,7
2024-03-27_14-03-59,-43.71982,-37.35467,340.6182,7
2024-03-27_14-04-00,-43.75457,-37.29332,337.2646,7
2024-03-27_14-04-01,-43.63676,-37.34053,347.6163,7
2024-03-27_14-04-02,-43.58228,-37.38491,352.9898,7
2024-03-27_14-04-03,-43.38659,-37.3112,354.0629,7
2024-03-27_14-04-04,-43.36135,-37.31865,354.1151,8
2024-03-27_14-04-05,-43.3554,-37.32827,354.9698,8
2024-03-27_14-04-06,-40.97043,-36.84776,352.782,7
2024-03-27_14-04-07,-37.02008,-36.08544,351.9158,5
2024-03-27_14-04-08,-33.12556,-35.88963,346.9915,5
2024-03-27_14-04-09,-32.36213,-34.86519,336.1439,6
2024-03-27_14-04-10,-31.94033,-31.60791,334.1638,7
2024-03-27_14-04-11,-32.30005,-29.22741,324.2167,9
2024-03-27_14-04-12,-32.47951,-28.75422,347.5569,8
2024-03-27_14-04-13,-31.20595,-29.02223,35.34864,8
2024-03-27_14-04-14,-31.201,-30.35954,315.0116,8
2024-03-27_14-04-15,-31.25952,-31.57402,311.2284,9
2024-03-27_14-04-16,-32.85091,-37.13237,325.1729,6
2024-03-27_14-04-17,-33.29081,-37.65571,330.3706,6
2024-03-27_14-04-18,-35.85668,-38.55278,333.9672,6
2024-03-27_14-04-20,-39.1333,-38.6668,331.3271,6
2024-03-27_14-04-21,-42.13902,-39.58393,310.0582,6
2024-03-27_14-04-22,-41.75674,-41.22808,36.88953,6
2024-03-27_14-04-23,-39.52963,-43.77509,37.63921,7
2024-03-27_14-04-24,-36.9502,-46.02483,31.34288,4
2024-03-27_14-04-25,-34.88351,-46.33897,20.0117,4
2024-03-27_14-04-26,-31.85747,-45.8518,17.64422,4
2024-03-27_14-04-27,-31.09813,-45.27998,8.576596,4
2024-03-27_14-04-28,-30.26099,-43.59606,23.51028,5
2024-03-27_14-04-29,-28.1667,-44.13021,24.32052,5
2024-03-27_14-04-30,-25.85509,-43.9106,17.60623,5
2024-03-27_14-04-31,-22.57111,-44.25173,29.14985,2
2024-03-27_14-04-32,-20.62197,-46.22995,20.19747,2
2024-03-27_14-04-33,-17.37309,-46.25043,18.00256,2
2024-03-27_14-04-34,-12.86041,-45.79673,10.80776,1
2024-03-27_14-04-35,-11.02039,-44.39001,13.006,0
2024-03-27_14-04-36,-10.76507,-43.84795,21.28647,0
2024-03-27_14-04-37,-10.20127,-43.46703,24.69984,0
2024-03-27_14-04-38,-10.19996,-43.47909,25.0504,0
2024-03-27_14-04-39,-10.23201,-43.51557,26.1164,0
2024-03-27_14-04-40,-10.23414,-43.51019,26.85259,0
2024-03-27_14-04-41,-10.22758,-43.51491,25.52226,0
2024-03-27_14-04-42,-10.23794,-43.5065,25.78,0
2024-03-27_14-04-43,-10.23155,-43.51128,27.35587,0
2024-03-27_14-04-44,-10.25188,-43.50144,25.1371,0
2024-03-27_14-04-45,-10.26353,-43.50053,26.84361,0
2024-03-27_14-04-46,-10.27234,-43.50959,26.86192,0
2024-03-27_14-04-47,-10.28266,-43.51036,25.8259,0
2024-03-27_14-04-48,-10.28994,-43.53032,28.01984,0
2024-03-27_14-04-49,-10.31203,-43.55485,23.05707,0
2024-03-27_14-04-50,-10.30084,-43.54963,23.81153,0
