2024-03-26_12-01-19_remote-2haptics maze.txt,id1=7,id2=23,03:17:56
2024-03-26_12-05-56,46.53741,-47.67576,343.5392,15
2024-03-26_12-05-57,46.54097,-47.6775,345.4105,15
2024-03-26_12-05-58,45.74418,-47.73237,10.12908,15
2024-03-26_12-05-59,45.74567,-47.73301,6.404737,15
2024-03-26_12-06-00,45.7436,-47.73142,8.275687,15
2024-03-26_12-06-01,45.74762,-47.73356,7.802463,15
2024-03-26_12-06-02,45.74574,-47.73195,10.09039,15
2024-03-26_12-06-03,45.74561,-47.73198,15.4391,15
2024-03-26_12-06-04,45.77562,-47.75687,6.223539,15
2024-03-26_12-06-05,45.76878,-47.71475,355.5447,13
2024-03-26_12-06-06,45.80186,-47.67622,353.9118,13
2024-03-26_12-06-07,46.39399,-46.36586,349.5562,14
2024-03-26_12-06-08,46.49697,-46.28296,350.8596,13
2024-03-26_12-06-09,46.69292,-45.71852,349.0695,15
2024-03-26_12-06-10,47.23167,-42.67746,345.9039,16
2024-03-26_12-06-11,46.34183,-38.75026,337.054,14
2024-03-26_12-06-12,45.4011,-37.56031,337.9053,14
2024-03-26_12-06-13,44.18045,-35.83658,339.2428,13
2024-03-26_12-06-15,43.76824,-35.81017,340.5759,13
2024-03-26_12-06-16,43.40747,-35.76394,340.0733,15
2024-03-26_12-06-17,43.14498,-35.72394,344.3436,13
2024-03-26_12-06-18,42.58554,-33.73577,346.2071,11
2024-03-26_12-06-19,41.61753,-28.90494,334.5046,8
2024-03-26_12-06-20,39.46755,-26.7969,336.9431,10
2024-03-26_12-06-21,38.26371,-25.6374,336.3903,9
2024-03-26_12-06-22,36.97753,-24.85447,337.2565,10
2024-03-26_12-06-23,35.97728,-23.64651,337.2388,9
2024-03-26_12-06-24,33.7082,-20.73082,342.8081,9
2024-03-26_12-06-25,33.02008,-20.62021,344.0805,11
2024-03-26_12-06-26,32.9254,-20.60771,345.7629,11
2024-03-26_12-06-27,32.95871,-20.53481,347.5631,11
2024-03-26_12-06-28,32.77956,-20.38992,345.724,9
2024-03-26_12-06-29,32.42176,-17.87142,345.4105,8
2024-03-26_12-06-30,32.46853,-16.59188,346.3618,8
2024-03-26_12-06-31,32.51836,-16.56728,347.1176,8
2024-03-26_12-06-32,32.49654,-16.53464,348.2606,8
2024-03-26_12-06-33,32.49229,-16.31444,348.8346,8
2024-03-26_12-06-34,32.67484,-15.24785,347.2895,8
2024-03-26_12-06-35,32.69654,-11.36743,349.898,9
2024-03-26_12-06-36,32.80485,-8.54414,13.04988,9
2024-03-26_12-06-37,34.75367,-8.174025,12.71861,9
2024-03-26_12-06-38,37.52422,-8.151973,12.74712,9
2024-03-26_12-06-39,38.43422,-8.169191,12.41556,8
2024-03-26_12-06-40,38.50814,-8.159202,12.38439,10
2024-03-26_12-06-41,39.21193,-8.041476,8.681748,8
2024-03-26_12-06-42,41.28278,-7.758441,6.913286,8
2024-03-26_12-06-43,41.87615,-7.621999,9.344178,8
2024-03-26_12-06-44,43.4653,-7.509305,9.899464,7
2024-03-26_12-06-45,45.67488,-6.682607,350.2529,7
2024-03-26_12-06-46,45.86137,-4.849499,343.2068,9
2024-03-26_12-06-47,44.373,-1.856426,330.0877,7
2024-03-26_12-06-48,44.22158,-1.585472,328.5019,8
2024-03-26_12-06-49,44.20396,-1.604161,326.3101,8
2024-03-26_12-06-50,44.07055,-1.641691,325.7163,7
2024-03-26_12-06-51,42.13805,-1.620259,323.4935,8
2024-03-26_12-06-52,39.84303,-1.700902,323.5427,8
2024-03-26_12-06-53,38.41618,-1.811589,321.2122,7
2024-03-26_12-06-54,36.89388,-1.8129,325.2946,7
2024-03-26_12-06-55,35.35298,-1.566738,326.437,8
2024-03-26_12-06-56,33.69146,-0.8904458,340.3552,7
2024-03-26_12-06-57,33.56898,-0.7538848,343.8473,7
2024-03-26_12-06-59,33.49927,-0.7117264,347.4058,7
2024-03-26_12-07-00,33.55165,-0.7461822,347.3969,7
