2024-03-27_17-12-24_remote-1spatial maze.txt,id1=10,id2=22,01:29:38
2024-03-27_17-12-52,-46.28907,-1.829347,352.7043,12
2024-03-27_17-12-53,-46.28667,-1.829602,317.6175,12
2024-03-27_17-12-53,-46.30612,-1.814316,312.7389,12
2024-03-27_17-12-54,-46.31381,-1.821256,306.8173,12
2024-03-27_17-12-54,-46.31008,-1.822694,306.0827,12
2024-03-27_17-12-55,-46.30886,-1.816993,306.691,12
2024-03-27_17-12-55,-46.30933,-1.811091,306.7907,12
2024-03-27_17-12-56,-46.30814,-1.812238,307.5919,12
2024-03-27_17-12-56,-46.30893,-1.81314,307.6428,12
2024-03-27_17-12-57,-46.30924,-1.813011,307.43,12
2024-03-27_17-12-57,-46.30973,-1.809015,307.6272,12
2024-03-27_17-12-58,-46.31423,-1.800202,307.9579,12
2024-03-27_17-12-58,-46.31737,-1.798784,307.7846,12
2024-03-27_17-12-59,-46.31656,-1.797568,307.734,12
2024-03-27_17-12-59,-46.3174,-1.794447,308.0549,12
2024-03-27_17-13-00,-46.31894,-1.794723,307.5297,12
2024-03-27_17-13-00,-46.31951,-1.798193,308.1145,12
2024-03-27_17-13-01,-46.31951,-1.798193,308.4353,12
2024-03-27_17-13-01,-46.30444,-1.820181,325.9279,12
2024-03-27_17-13-02,-46.32399,-1.792039,321.2292,12
2024-03-27_17-13-02,-46.3187,-1.797521,309.0779,12
2024-03-27_17-13-03,-46.32074,-1.79736,309.0437,12
2024-03-27_17-13-03,-46.32157,-1.796451,308.8737,12
2024-03-27_17-13-04,-46.32123,-1.796992,308.7123,12
2024-03-27_17-13-04,-46.32001,-1.796977,308.9449,12
2024-03-27_17-13-05,-46.32142,-1.798873,307.2267,12
2024-03-27_17-13-05,-46.32219,-1.801642,306.6371,12
2024-03-27_17-13-06,-46.32613,-1.805805,305.7817,12
2024-03-27_17-13-06,-46.32792,-1.8082,305.9427,12
2024-03-27_17-13-07,-46.32697,-1.807471,306.406,12
2024-03-27_17-13-07,-46.31597,-1.810552,307.9752,12
2024-03-27_17-13-08,-46.28753,-1.826847,309.9855,12
2024-03-27_17-13-08,-46.28508,-1.831069,309.2708,12
2024-03-27_17-13-09,-46.28589,-1.837745,312.3574,12
2024-03-27_17-13-09,-46.29058,-1.843958,313.3571,12
2024-03-27_17-13-10,-46.2909,-1.845435,314.2974,12
2024-03-27_17-13-10,-46.29535,-1.83329,314.915,12
2024-03-27_17-13-11,-46.29816,-1.825389,315.4566,12
2024-03-27_17-13-11,-46.30497,-1.815115,314.9962,12
2024-03-27_17-13-12,-46.30806,-1.81104,313.4838,12
2024-03-27_17-13-12,-46.30604,-1.810048,313.5181,12
2024-03-27_17-13-13,-46.30587,-1.806991,313.2596,12
2024-03-27_17-13-13,-46.30482,-1.806308,313.3926,12
2024-03-27_17-13-14,-46.30735,-1.804734,313.5428,12
2024-03-27_17-13-14,-46.30942,-1.802548,313.4067,12
2024-03-27_17-13-15,-46.30899,-1.801388,312.9913,12
2024-03-27_17-13-15,-46.30674,-1.800303,312.9878,12
2024-03-27_17-13-16,-46.3081,-1.796615,313.1246,12
2024-03-27_17-13-16,-46.30695,-1.793512,313.2206,12
2024-03-27_17-13-17,-46.30976,-1.7945,312.6777,12
2024-03-27_17-13-18,-46.31861,-1.798347,311.568,12
2024-03-27_17-13-18,-46.3196,-1.805541,310.8958,12
2024-03-27_17-13-19,-46.317,-1.842938,294.7974,12
2024-03-27_17-13-19,-46.32162,-1.875657,276.0099,12
2024-03-27_17-13-20,-46.29753,-1.806252,302.6076,12
