2024-03-27_11-30-57_remote-1spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-35-53,-31.58107,-8.618029,38.08599,10
2024-03-27_11-35-54,-31.50721,-8.568578,51.23128,10
2024-03-27_11-35-54,-31.51075,-8.553473,49.98195,10
2024-03-27_11-35-55,-31.5511,-8.55125,41.20378,10
2024-03-27_11-35-55,-31.58372,-8.563047,37.79767,10
2024-03-27_11-35-56,-31.59498,-8.578287,38.56379,10
2024-03-27_11-35-56,-31.60211,-8.576931,38.82774,10
2024-03-27_11-35-57,-31.60269,-8.579008,39.30677,10
2024-03-27_11-35-57,-31.60213,-8.581777,38.92869,10
2024-03-27_11-35-58,-31.60169,-8.582252,39.40137,10
2024-03-27_11-35-58,-31.61839,-8.576018,36.78476,10
2024-03-27_11-35-59,-31.68089,-8.569101,25.37831,10
2024-03-27_11-35-59,-31.69628,-8.555345,23.2694,10
2024-03-27_11-36-00,-31.65269,-8.020483,25.21101,11
2024-03-27_11-36-00,-31.67267,-7.741012,24.33642,11
2024-03-27_11-36-01,-31.7544,-7.308338,24.4809,11
