2024-03-27_17-12-24_player-2spatial maze.txt,id1=10,id2=22,01:29:38
2024-03-27_17-12-52,41.23465,-47.31635,291.4616,12
2024-03-27_17-12-53,41.23396,-47.31643,241.5159,12
2024-03-27_17-12-53,41.23478,-47.3159,240.1645,12
2024-03-27_17-12-54,41.23414,-47.3153,239.826,12
2024-03-27_17-12-54,41.23417,-47.31507,239.6974,12
2024-03-27_17-12-55,41.23496,-47.3162,239.5082,12
2024-03-27_17-12-55,41.22903,-47.31329,245.092,12
2024-03-27_17-12-56,41.22448,-47.32025,244.8519,12
2024-03-27_17-12-56,41.22211,-47.32429,243.9182,12
2024-03-27_17-12-57,41.22306,-47.32307,243.1041,12
2024-03-27_17-12-57,41.2221,-47.32309,243.7156,12
2024-03-27_17-12-58,41.2175,-47.31074,249.0271,12
2024-03-27_17-12-58,41.21302,-47.31514,250.1314,12
2024-03-27_17-12-59,41.20958,-47.31683,248.1495,12
2024-03-27_17-12-59,41.20617,-47.32462,246.6185,12
2024-03-27_17-13-00,41.20604,-47.32636,246.4195,12
2024-03-27_17-13-00,41.20805,-47.32594,246.8103,12
2024-03-27_17-13-01,41.20837,-47.32688,247.2088,12
2024-03-27_17-13-01,41.19903,-47.32633,246.9641,12
2024-03-27_17-13-02,41.20011,-47.3373,243.2961,12
2024-03-27_17-13-02,41.19948,-47.3351,243.63,12
2024-03-27_17-13-03,41.20175,-47.33464,244.0004,12
2024-03-27_17-13-03,41.20325,-47.33618,243.9162,12
2024-03-27_17-13-04,41.21159,-47.33276,244.6296,12
2024-03-27_17-13-04,41.21706,-47.32802,244.3591,12
2024-03-27_17-13-05,41.21463,-47.3298,244.6648,12
2024-03-27_17-13-05,41.21052,-47.33583,245.6891,12
2024-03-27_17-13-06,41.21248,-47.33833,245.8327,12
2024-03-27_17-13-06,41.21675,-47.33759,245.6932,12
2024-03-27_17-13-07,41.21516,-47.33577,246.2754,12
2024-03-27_17-13-07,41.20399,-47.32716,247.9504,12
2024-03-27_17-13-08,41.20146,-47.32247,261.8877,12
2024-03-27_17-13-08,41.20142,-47.32212,246.9172,12
2024-03-27_17-13-09,41.20703,-47.30655,249.2336,12
