2024-03-27_12-37-56_remote-1haptics maze.txt,id1=2,id2=3,03:14:02,FAILURE *
2024-03-27_12-38-36,-45.77331,-36.6581,29.58283,12
2024-03-27_12-38-37,-45.38111,-36.81001,26.70642,12
2024-03-27_12-38-38,-44.47079,-37.00066,24.61079,12
2024-03-27_12-38-39,-43.19035,-36.94166,22.06503,14
2024-03-27_12-38-40,-42.75155,-36.93114,23.06885,13
2024-03-27_12-38-41,-42.70205,-36.98891,24.41058,13
2024-03-27_12-38-42,-41.99623,-37.02879,24.9245,13
2024-03-27_12-38-43,-41.3211,-37.1465,23.67671,13
2024-03-27_12-38-44,-40.61683,-37.15536,22.70074,13
2024-03-27_12-38-45,-39.11221,-37.23503,23.2446,13
2024-03-27_12-38-46,-38.5731,-37.24844,21.40359,13
2024-03-27_12-38-47,-35.76497,-37.15728,21.12099,11
2024-03-27_12-38-48,-35.5103,-37.00634,10.52705,11
2024-03-27_12-38-49,-34.63858,-36.72643,17.0493,11
2024-03-27_12-38-50,-34.2398,-36.51959,15.56841,11
2024-03-27_12-38-51,-33.5981,-35.75531,1.980829,12
2024-03-27_12-38-53,-33.66056,-35.43066,2.043478,12
2024-03-27_12-38-54,-33.56452,-34.28254,1.590002,12
2024-03-27_12-38-55,-33.29746,-32.31343,1.518366,9
2024-03-27_12-38-56,-33.19812,-28.94015,350.8402,8
2024-03-27_12-38-57,-33.67089,-28.51952,340.7819,10
2024-03-27_12-38-58,-34.22148,-28.56291,339.8263,10
2024-03-27_12-38-59,-34.66034,-27.95921,338.338,10
2024-03-27_12-39-00,-36.83852,-27.88618,341.6431,10
2024-03-27_12-39-01,-39.48577,-27.88414,337.179,8
2024-03-27_12-39-02,-40.457,-28.04501,325.2797,8
2024-03-27_12-39-03,-40.50119,-28.17598,324.7199,9
2024-03-27_12-39-04,-41.56707,-28.29926,323.5626,9
2024-03-27_12-39-05,-42.22589,-30.752,356.5732,10
2024-03-27_12-39-06,-41.36988,-33.1075,41.62389,11
2024-03-27_12-39-07,-40.03478,-32.96353,22.65712,11
2024-03-27_12-39-08,-39.91938,-33.03524,334.2369,11
2024-03-27_12-39-09,-41.0781,-32.50345,350.3959,13
2024-03-27_12-39-10,-41.07984,-32.44123,353.5188,13
2024-03-27_12-39-11,-41.25753,-31.88014,359.449,11
2024-03-27_12-39-12,-41.23582,-31.14612,1.579363,11
2024-03-27_12-39-13,-41.43211,-30.18714,4.79042,13
2024-03-27_12-39-14,-41.37987,-30.17697,10.33686,14
2024-03-27_12-39-15,-41.62899,-29.54366,11.10266,13
2024-03-27_12-39-16,-41.51529,-28.33398,21.12075,12
2024-03-27_12-39-17,-41.01527,-28.03963,20.95985,13
2024-03-27_12-39-18,-38.7606,-27.42652,26.09835,13
2024-03-27_12-39-19,-37.0527,-27.58051,26.09999,12
2024-03-27_12-39-20,-34.76697,-27.94586,29.88713,11
2024-03-27_12-39-21,-33.71627,-28.45065,41.45075,12
2024-03-27_12-39-22,-32.73693,-31.67405,47.42939,11
2024-03-27_12-39-23,-32.91973,-32.85741,316.4457,11
2024-03-27_12-39-24,-33.37976,-35.69225,320.4863,13
2024-03-27_12-39-25,-34.71388,-37.63456,331.357,12
2024-03-27_12-39-26,-36.22734,-38.13111,332.5565,13
2024-03-27_12-39-27,-36.72649,-38.16094,334.1723,13
2024-03-27_12-39-28,-37.5046,-38.03377,333.2885,13
2024-03-27_12-39-29,-38.09266,-38.13395,333.5188,13
2024-03-27_12-39-30,-38.61335,-38.05252,333.3055,13
2024-03-27_12-39-31,-39.46736,-38.18122,330.5089,15
2024-03-27_12-39-32,-39.6022,-38.13702,332.5047,13
2024-03-27_12-39-34,-40.74674,-38.09236,332.62,13
2024-03-27_12-39-35,-41.45507,-38.09993,338.3599,13
2024-03-27_12-39-36,-42.26548,-38.04274,336.1265,12
2024-03-27_12-39-37,-43.67731,-38.34075,335.1398,11
2024-03-27_12-39-38,-44.42214,-38.32008,335.5701,11
2024-03-27_12-39-39,-44.57547,-38.29467,336.3246,12
2024-03-27_12-39-40,-46.21516,-36.99983,350.0128,12
2024-03-27_12-39-41,-47.25051,-35.90921,355.2729,12
2024-03-27_12-39-42,-47.3958,-35.85868,352.3374,13
2024-03-27_12-39-43,-47.49378,-35.48407,353.442,14
2024-03-27_12-39-44,-47.8894,-34.16095,356.4502,13
2024-03-27_12-39-45,-47.88577,-34.05813,356.9984,13
2024-03-27_12-39-46,-47.90177,-34.03902,355.0523,13
2024-03-27_12-39-47,-47.91006,-34.0196,355.6624,13
