2024-03-27_17-23-08_remote-1haptics maze.txt,id1=10,id2=22,08:46:55
2024-03-27_17-24-15,-46.16631,48.75002,275.6852,20
2024-03-27_17-24-16,-46.16853,48.74938,276.3877,20
2024-03-27_17-24-17,-46.16813,48.7495,276.5955,20
2024-03-27_17-24-18,-46.20859,48.74728,282.1539,20
2024-03-27_17-24-19,-46.19418,48.73746,280.29,20
2024-03-27_17-24-20,-46.17778,48.72889,277.787,20
2024-03-27_17-24-21,-46.17039,48.72906,278.3272,20
2024-03-27_17-24-22,-46.17031,48.73307,277.8484,20
2024-03-27_17-24-23,-46.17028,48.72542,277.2389,20
2024-03-27_17-24-24,-46.17297,48.7277,276.8127,20
2024-03-27_17-24-25,-46.17115,48.75449,272.0686,20
2024-03-27_17-24-26,-46.15957,48.74487,276.864,20
2024-03-27_17-24-27,-46.16454,48.74074,276.7687,20
2024-03-27_17-24-28,-46.1468,48.74128,274.5733,20
2024-03-27_17-24-29,-46.16253,48.73853,277.3907,20
2024-03-27_17-24-30,-46.16204,48.73995,277.7235,20
2024-03-27_17-24-31,-46.15702,48.74329,276.2881,20
2024-03-27_17-24-32,-46.12558,48.76417,270.4879,18
2024-03-27_17-24-33,-46.14306,48.76579,329.1824,18
2024-03-27_17-24-34,-46.2756,48.77564,292.1632,20
2024-03-27_17-24-35,-46.28277,48.76403,291.3118,20
2024-03-27_17-24-36,-46.27615,48.76152,291.3697,20
2024-03-27_17-24-37,-46.30408,48.78513,296.7047,20
2024-03-27_17-24-38,-46.15437,48.73205,275.0995,20
2024-03-27_17-24-39,-46.12983,48.74109,273.4315,18
2024-03-27_17-24-40,-46.12836,48.74694,272.6968,18
2024-03-27_17-24-41,-46.12857,48.74559,273.8438,18
2024-03-27_17-24-42,-46.12861,48.7391,274.7993,18
2024-03-27_17-24-43,-46.12586,48.74136,274.2545,18
2024-03-27_17-24-44,-46.12472,48.74273,274.8646,18
2024-03-27_17-24-45,-46.09063,48.77962,268.5034,18
2024-03-27_17-24-47,-46.10292,48.77227,271.7537,18
2024-03-27_17-24-48,-46.12191,48.82888,329.0686,16
2024-03-27_17-24-49,-46.19829,48.83908,329.8497,17
2024-03-27_17-24-50,-46.22228,48.16616,286.849,19
2024-03-27_17-24-51,-47.35726,47.94345,287.8324,19
2024-03-27_17-24-52,-47.45994,47.21745,280.2994,18
2024-03-27_17-24-53,-47.51924,45.93591,279.3586,19
2024-03-27_17-24-54,-47.50631,44.40408,279.4892,18
